People  LS,CLAUDIA,SANDY
Title   Interviewed 1/30/20<br>by Lydia Strohl <https://d1q40j6jx1d8h6.cloudfront.net/Obituaries/23112665/Thumbnail.jpg>
Speaker 2    00:37:35    Same place I am now. Same farm, but, uh, the big house. Right. Uh, which we called it, um, is out, uh, is on Young Road, out of the little road. Have you been out in that area? Mm-hmm <affirmative>. Okay. So I grew up in, in that, in that big, in that big house. Um, Denton Farm. The what? Denton farm? Yeah. Well, it was called, it was just called Denton in those days. Right.  
Speaker 2    00:38:04    And then we changed it. Then when I came back here to work in 1965, I used Denton Farm as a business so that I could get feed hay, you know, I just, instead of charging it to the family and set up a, a farm account. So when my family died and my brother moved back here, he didn't know. I said, I'm keeping the farm since I'm still only one here working a farm. The farm name Deton Farm. And so Phil Thomas of all people suggested my brother called it Old Deton. So since 1980 something, my father died in 80. So it's that, that part of the prop, that part of the farm was called Old Denton. And as it has been transferred since that's, it's been transferred as old Denton,  
Speaker 2    00:39:12    We we're Denton where we live, right across the across  
Speaker 1    00:39:16    Ton. The old Denton was just recently sold again. Yes. Oaky Turner sold it. Yes. Again, to,  
Speaker 2    00:39:21    I got a lot of stuff from Mokey, much to send Nevermind. <laugh>  
Speaker 1    00:39:29    Anyway. Not your,  
Speaker 2    00:39:30    Anyway, um, we built a house up on the hill. Uh, they gave us some property. We built a house up on the hill.  
Speaker 1    00:39:38    Mm-hmm <affirmative>. And when was that?  
Speaker 2    00:39:40    65.  
Speaker 1    00:39:41    65. So that's the house then you grew up in? Yes. Yes. Yeah. That there's still in. And then we built a house on the hill too. Right. <laugh>.  
Speaker 2    00:39:50    Go back, build another one. If I had another hill, I'd probably build one for the rest of them.  
Speaker 1    00:39:56    <laugh>.  
Speaker 2    00:39:58    Well, actually,  
Speaker 2    00:39:59    We didn't build that. They built  
Speaker 1    00:40:00    Their own.  
Speaker 2    00:40:00    Mary B's gonna move in, remodel the tenant house to move in there in one of these days.  
Speaker 2    00:40:05    Well, no, that's going, that's  
Speaker 1    00:40:06    Your dream.  
Speaker 2    00:40:07    That's a big ours.  
Speaker 2    00:40:09    That's such a nice, it's hers. That's  
Speaker 2    00:40:10    Hers too. It's going, that house is going in one place in the ground.  
Speaker 2    00:40:16    Okay.  
Speaker 1    00:40:17    So you two met here as children, right?  
Speaker 2    00:40:21    In this practically in this room.  
Speaker 1    00:40:22    Yeah.  
Speaker 2    00:40:24    Um, yeah.  
Speaker 2    00:40:25    And my father was his doctor. He'd come for allergy shots.  
Speaker 1    00:40:29    <laugh>.  
Speaker 2    00:40:30    I didn't have any interest in him whatsoever. I used it to take all of our, my girlfriends, myself, to the movies in Winchester. He'd pay for all of us, buy us popcorn and Coca-Cola or Pepsi's. He had a convertible, good looking. His mobile with was black with red leather interior and white top and a hood ornament.  
Speaker 2    00:40:56    Well, that's why I had that in college. I didn't have that when I first met you.  
Speaker 2    00:41:00    Oh, you had the Plymouth Ray. Plymouth.  
Speaker 2    00:41:02    I had some whatever I could borrow from the old man <laugh>.  
Speaker 2    00:41:07    He, we were at the drugstore one day where Ms. Leonard worked. And, uh, I was on a stool and he came in and he, during the stool round, he said, would you go with me to the Millwood Country Club dance Saturday night? I said, no. And he turned around and he said, reconsider. And I said, no. And the slightest interest in going to the dance, or you Sandy, um, give up, get a life. And he turned that stool around. And he looked at me and he said, I'll never give up. I'm gonna marry you one of these days. I mean, we were 14 years old. Mind you and Ms. Leonard. I  
Speaker 2    00:41:47    Remember that  
Speaker 2    00:41:48    Now. I did. Ms. Leonard was there, and they all started applauding. I was so embarrassed. I turned red. Me do. Anyway, that's what happened. <laugh> <laugh>, the beginning  
Speaker 1    00:42:00    Of the end. Yeah. And you were here until, and then went away for college.  
Speaker 2    00:42:06    I was here. And then I went away to, um,  
Speaker 2    00:42:10    Aiken.  
Speaker 2    00:42:11    I'm trying to see, I think how old we were. I, I, I don't know if I was driving.  
Speaker 2    00:42:17    You went to Aiken?  
Speaker 2    00:42:18    Well, I went to Aiken. Yeah. I went, I went away to school, to Aiken when I was 10 years old. Um, which is South Carolina. Very small private school.  
Speaker 2    00:42:30    Still has friends from Aiken.  
Speaker 2    00:42:32    Huh.  
Speaker 2    00:42:33    Prep still has friends from Aiken Prep. You still have friends from Aiken Prep? Oh, yeah.  
Speaker 2    00:42:39    Yeah. Ones are still kicking. Um, I was there for four years and I went to school in Connecticut and was there for five years. I had a gap year there. And I went from there to University of Virginia and all told, I was there for five years off and on. But I was also in the Army, but active for six months. And when I came out, uh, I went to, uh, the university extension up in, uh, Arlington. And at that time, my mother had an apartment in Washington. This was 19 60, 61. Uh, my mother had an apartment at Washington, which was very convenient. 'cause night school was only three days a week. So Monday, Tuesday, Wednesday, and then long weekend. Uh, I used to come out here and ride a lot. Uh, just do a lot of things.  
Speaker 1    00:43:45    And what was your father's business at  
Speaker 2    00:43:48    Denton? Well, I'll tell you the truth. Uh, he had, he worked, he, he was in the horse business in one way or another as a rider. And then he, when, when his great uncle bought a farm, bill Langley on a to road down here,  
Speaker 2    00:44:07    Which John Warner later bought.  
Speaker 2    00:44:10    Yeah. Well, don't, don't get ahead of the game here. Um, he came down and he had a big fox hunting barn. When I say barn, I mean he, it was, he had 30 or 40 horses. So my father came down and, uh, I guess it was about 1932 or 33. 'cause he and my mother were married in 33. That's right. And then they came down here and he went to work for Bill Langley. And basically he was running that whole operation, which is quite an operation. And when, when you fox something five days a week, sometimes six, and you're sending out 12 horses from your barn. I mean, it was, they, and they, no trailers. They hacked everyone.  
Speaker 2    00:45:06    They hacked them,  
Speaker 2    00:45:08    Hacked, act everywhere. And they'd leave depending on where it was gonna be that day and how far it took long to get there. They'd leave maybe an hour, hour and a half before they get home. After dark, sometimes way after dark.  
Speaker 1    00:45:23    And who were their clients at that time? Was it local people or was it people  
Speaker 2    00:45:28    From dc Well, they were mainly, there were no clients per se. Bill Langley was very wealthy, so he just provided horses for people who wanted to ride. But were they local  
Speaker 2    00:45:39    People  
Speaker 6    00:45:40    Or were they people that came, were they local people here in middle?  
Speaker 2    00:45:43    Some were local. Some came from New York and spent a week here and he'd provide the horses.  
Speaker 2    00:45:49    And he had airplane flew and landed on the property. Mm-hmm  
Speaker 2    00:45:53    <affirmative>. Um, well, he didn't have it at that time because he didn't get the plane flew much later. But, um,  
Speaker 2    00:46:02    So you're saying he didn't charge them, he would just Right. Five.  
Speaker 2    00:46:05    Yeah. Uh, and then, uh, the family moved over to where? Bill, uh, Barbara and Bill Scott Wilson. Now Scott lives, uh, which is right, very close to us where we live now. And, um, they lived there for right before they bought Denton, the farm, or Bill. Andy bought it for him. Mm-hmm <affirmative>. And he set him up there with, so my father really never had, per se, a paying job. He, uh, he was fortunate he was well.  
Speaker 2    00:46:53    And, uh, let me tell you something, footnote about the house. That big house stent in the farm, they had hand painted wallpaper in the dining room. Um, Ivy Vines with, uh, birds in it. Really pretty gone now. And I wish they'd saved part of it and framed it at least. But they didn't Okie, when he, they moved in and remodeled the house, which they did a good job. Anyway, we're gonna move up the street.  
Speaker 2    00:47:23    What?  
Speaker 2    00:47:23    Gonna move up the street?  
Speaker 2    00:47:24    I mean, you got her going in two different directions  
Speaker 2    00:47:27    Now. Yeah. Gonna move on up the street from, um, where were we? Bradshaw's? We did. Okay. We're up. Uh, past Mag's, past community center. Um, the little house Robert Kerns lived in, he was manager at Homewood Farms at the pet bone, zoned out the racetrack road, then next to then him lived in the house. Who lived in that house. Well,  
Speaker 2    00:48:04    I'm trying to see where you are because  
Speaker 2    00:48:06    We're next to the community center next to where Robert Kerns lived.  
Speaker 2    00:48:10    The little, he lived in that little house, which is still there.  
Speaker 2    00:48:12    Yeah. And next door. Who was that?  
Speaker 2    00:48:14    That, that was the, the pharmacist Dr. Felt was in there  
Speaker 2    00:48:18    For, for Noy. For Noy who had had the drugstore. But there weren't as many houses up there? No. At that point.  
Speaker 2    00:48:25    But these were two of the older ones that were  
Speaker 2    00:48:27    There. And next to that, and then was the Dawson house. Yeah. And he was president of the bank when it was down. Mm-hmm <affirmative>. In the middle of town. And then there was, um,  
Speaker 2    00:48:39    The Collier  
Speaker 2    00:48:40    House. The Collier House. She was a nursery school teacher. Wonderful.  
Speaker 2    00:48:44    He was what?  
Speaker 2    00:48:45    She was a nursery school  
Speaker 2    00:48:46    Teacher. Oh, yeah. But he was the, uh,  
Speaker 2    00:48:48    Electrician. I, I was gonna say he was electrician. Wonderful family. Now, where are we in,  
Speaker 2    00:48:53    Uh, if, if you are going out of town, you go, uh, past those two little yellow houses. Right. And then the stone house, and then the street that goes up. The library.  
Speaker 2    00:49:03    The library.  
Speaker 2    00:49:04    That frame house on the corner was the Collier House.  
Speaker 2    00:49:07    Okay. That's where Reever lives.  
Speaker 2    00:49:09    Yeah. That's where Reever lives, correct? Mm-hmm  
Speaker 2    00:49:11    <affirmative>. Right.  
Speaker 2    00:49:12    And then, uh, the house next to that, where myON lives Now, I don't know who was in that house  
Speaker 2    00:49:20    Before R huh? Before Ria lived there. R  
Speaker 2    00:49:25    Oh my God. Yes. I'm talking about way  
Speaker 2    00:49:27    Back. I know. I can't remember.  
Speaker 2    00:49:29    And then the, and then from then on, going out of town, uh,  
Speaker 2    00:49:37    Incidentally, the house that, uh, that, that, uh, um, Rio lived in that, uh, what's his name lives in now Hunt. Lyman is a Sears and Robot House was shipped here, ordered out of the catalog. And it is one of three left it standing today. Hmm. Okay. In the next house.  
Speaker 2    00:50:04    Um, those two were local people that I don't remember. But the next one on the corner was the Boxwell house.  
Speaker 2    00:50:14    Wait a minute before you get there was Judy. Um,  
Speaker 2    00:50:25    These are houses that are right across from where TRO and Margaret live, that brick house coming into town.  
Speaker 2    00:50:30    Mm-hmm <affirmative>. Judy. Judy. Judy, what's her last  
Speaker 2    00:50:33    Name? And, and there were a lot of, you know, uh, those were original houses. Stuff that fit, newer ones were probably built in the back as they developed the back.  
Speaker 1    00:50:48    Right. So people owned a lot of property that went back out.  
Speaker 2    00:50:52    Well, I don't know if they owned all the property, but it was owned by somebody.  
Speaker 1    00:50:56    It was open. It was open.  
Speaker 2    00:50:58    It was open more or less.  
Speaker 1    00:50:59    Now come, come back to town then. So where the sporting library is now, what was there?  
Speaker 2    00:51:06    Um,  
Speaker 2    00:51:06    Well, that, that was an antique shop. Mm-hmm <affirmative>. Um, Ms. Ffi Woodward. And she lived with a couple who was the, he was the Methodist minister. And as a footnote, my brother, when he was four years old, was walking up the street behind Ms. Ffi. And she was stone deaf Goodyear thing. And he said, good morning, Ms. Ffi. And she didn't speak. And he said it three or four times. And he said, Ms. Ffi, if you don't speak to me, I'm gonna kick you in the ass. Whether you did or not, I don't know.  
Speaker 2    00:51:38    You talking about, you talking about the sporting library  
Speaker 2    00:51:41    Building, uh mm-hmm <affirmative>.  
Speaker 2    00:51:44    Yeah. That was,  
Speaker 2    00:51:45    It was a brick building. The, the other, the white building wasn't there that was built  
Speaker 2    00:51:49    There. It was the original, the original brick. Yeah. Right before they added onto it and remodeled it  
Speaker 1    00:51:54    And everything. Right, right.  
Speaker 2    00:51:55    It was a lot smaller  
Speaker 1    00:51:57    Building. And then you come back and there's the gas station building mm-hmm  
Speaker 5    00:52:01    <affirmative>.  
Speaker 2    00:52:02    Coming back down Main Street now where the RY is. Mm-hmm <affirmative>. Mm-hmm <affirmative>. Yeah. That was a gas station  
Speaker 2    00:52:10    Owned by, um, current Roberts. What was his name?  
Speaker 2    00:52:18    Um,  
Speaker 5    00:52:19    Oh my gosh. It was a funny name. Like a nickname.  
Speaker 2    00:52:22    Uh, bill. Uh,  
Speaker 5    00:52:24    It's hard to be. Yeah. Huh. Yeah. It was a nicknamey, like a funny name. Right.  
Speaker 2    00:52:29    Yeah. I can't remember.  
Speaker 5    00:52:30    I know, I can't remember either. It'll pop in our head later  
Speaker 2    00:52:38    Coming No. Where Southern States was and is now empty.  
Speaker 1    00:52:44    Right.  
Speaker 5    00:52:52    I can't remember either.  
Speaker 2    00:52:53    I don't know exactly what that was. That might've been some sort of feed store. But it wasn't associated with, because, uh, the Fun Shop and Allen's have been there  
Speaker 1    00:53:06    Right.  
Speaker 2    00:53:06    Quite a long time.  
Speaker 1    00:53:07    Now, where was the place That was the hamburger place?  
Speaker 2    00:53:10    I'll tell you that in a minute. 'cause we're coming back down. Oh,  
Speaker 1    00:53:12    That's further this way. Okay.  
Speaker 2    00:53:15    Uh, he then got the post office, which was not there originally. It was more, you remember the little hamburger stand where the bank is now, and where the Post  
Speaker 2    00:53:32    Joe Anderson had,  
Speaker 2    00:53:33    And that was a sort of a big open lot,  
Speaker 2    00:53:36    Joe. Yeah. There's a picture of that in, yeah. Joe Anderson had the hamburger.  
Speaker 2    00:53:41    And then across the street where I used to have coffee every morning was the ham, was the hamburger. I had formally Addison Sandwich Shop, because what's her name lived out there on uh, country Road. I,  
Speaker 5    00:54:03    I know  
Speaker 2    00:54:04    She's the one that gave me the sign.  
Speaker 5    00:54:07    Oh.  
Speaker 2    00:54:07    Can't think of her name. Oh. But that was, uh, but that was across the street from where we are now. Mm-hmm. Coming back down Main Street. Mm-hmm  
Speaker 2    00:54:15    <affirmative>. Yeah.  
Speaker 5    00:54:15    Mm-hmm <affirmative>. It's kind of like where the,  
Speaker 2    00:54:17    Where is that sign? Some of the  
Speaker 5    00:54:18    Sa Salama. I  
Speaker 2    00:54:20    Name Donovan.  
Speaker 5    00:54:23    Oh, I don't remember. It was so what else on that side of the street? What else passed the bank  
Speaker 2    00:54:33    On, on that street? All right. Um,  
Speaker 2    00:54:36    Then there passed  
Speaker 2    00:54:37    The bank, uh, was the old, it was called Ackman's, that big stone building where  
Speaker 2    00:54:50    That's a side street.  
Speaker 2    00:54:52    What? No, no, I'm talking about originally.  
Speaker 2    00:54:54    Okay.  
Speaker 2    00:54:55    He was at, that was a, a Cloner store, which is now an antique  
Speaker 2    00:55:00    Store. Antique emporium.  
Speaker 2    00:55:01    And the original part of the, all that stuff is there is big old, is a big old Stone thing.  
Speaker 2    00:55:07    He was the only Jewish family in, in town. And they had to go to war, uh, to Winchester, to the synagogue.  
Speaker 2    00:55:14    They moved out of there and moved around a side street to where, uh, the bridal shop is now. Mm-hmm <affirmative>. Uh, that big, that which is just over. Um, and then those, those buildings were the, uh, I think they were added on. 'cause then you get to the church and then you get to the, you know, pretty much all, that's all new way back when. And they hadn't, hadn't changed too much. Right.  
Speaker 2    00:55:45    The health center?  
Speaker 2    00:55:46    Huh?  
Speaker 2    00:55:47    The health center on the side street? Yeah.  
Speaker 2    00:55:51    Well, I haven't gotten there yet.  
Speaker 2    00:55:53    Okay.  
Speaker 5    00:55:54    But also in the Main Street was during what, during Chevrolet.  
Speaker 2    00:55:58    Oh, yeah.  
Speaker 2    00:55:59    That was in the middle of the block here. Yeah. Yeah.  
Speaker 2    00:56:01    During, uh, wait a minute. Yeah. During Chevrolet was is where all those little stores are. All those little shops are in, it is called the, the mall right there before you get to Julie. Well, I call it still call it Julius  
Speaker 2    00:56:17    Juliet. Yeah.  
Speaker 2    00:56:18    But that was, that was during Chevrolet. Right. And in the back of that was always, you know, where the fitness place is. Those little stores are That was, that was the workshop.  
Speaker 2    00:56:31    Then you had the the newspaper store. The little shop.  
Speaker 2    00:56:35    Oh yeah, the newspaper. Well, that was right next to Deer. Yeah.  
Speaker 2    00:56:38    Next to Deer.  
Speaker 2    00:56:39    It didn't last too long. Where, what's her name's got the Fish Stop Fish Fish Store. Now Ga uh, she moved over from Marshall and she  
Speaker 1    00:56:50    Oh yeah.  
Speaker 2    00:56:50    Molly, Molly moved person.  
Speaker 1    00:56:52    Right, right next to where Huckleberry's was. Yeah.  
Speaker 2    00:56:55    Yeah. And where the Mexican place is. Right. That's actually all one piece. And when Julian sold it, they sold off, or it's,  
Speaker 2    00:57:09    That was originally when we were growing up drugstore. Yeah. Where the Mexican restaurant is. Where  
Speaker 1    00:57:15    The restaurant is. Yeah. With the big, the big plate glass windows there. Right. Mm-hmm <affirmative>. That, did the building look like that? Yeah.  
Speaker 2    00:57:21    And that was  
Speaker 2    00:57:22    Also two different restaurants in between  
Speaker 1    00:57:23    Too. Oh, that's great.  
Speaker 2    00:57:25    Yeah.  
Speaker 2    00:57:25    Because it was, what was one that, that Tyler Gore was running? Was that Huckleberry's or was it, or was that mm-hmm <affirmative>. That came afterwards. I  
Speaker 2    00:57:33    Think it was Huckleberry's. Yes.  
Speaker 1    00:57:35    So that was a pharmacy until,  
Speaker 2    00:57:42    I don't remember the year.  
Speaker 2    00:57:44    No, I just, it, uh, seems to me, yeah. It, it is been going quite a while. I think. 'cause it's been two or three, there's been three restaurants that I can think of right now. Huckleberries, Julian's, the, the new one, and maybe one before Huckleberries owned by somebody else or leased by somebody else.  
Speaker 1    00:58:10    Right. And, and, and then,  
Speaker 2    00:58:12    And then you hit the Thomas and Talbert Corner,  
Speaker 2    00:58:14    Which was a furniture store.  
Speaker 1    00:58:16    Okay. But  
Speaker 2    00:58:17    That's right. I forgot that. You're right.  
Speaker 1    00:58:19    Which was a furniture  
Speaker 2    00:58:20    Store. And that faced the street instead of Facing  
Speaker 1    00:58:24    Street. And the stores behind that, which was, it's like where the bridal place and that,  
Speaker 2    00:58:30    That was, uh, that was where Nachman moved from Main Street, around the corner. And he set up the Reliable Store there.  
Speaker 1    00:58:40    What was the Reliable Store?  
Speaker 2    00:58:42    That's what he called it. It is owned by Nachman.  
Speaker 2    00:58:45    He sold everything, you know, and it was,  
Speaker 1    00:58:47    It was like a department store. Yeah.  
Speaker 2    00:58:49    Like a small local department store.  
Speaker 1    00:58:52    And was the fun shop the same way?  
Speaker 2    00:58:56    Yes, pretty much.  
Speaker 1    00:58:57    So you had two, two places that you could go and  
Speaker 2    00:58:59    Get? Well, no. They, they sold different things, different quality goods. And then Mr. Allen had his photography shop upstairs over the mm-hmm <affirmative>. Fun Shop. Uh, and then going down that side street you had, uh, after the, uh, where  
Speaker 2    00:59:21    You back on  
Speaker 2    00:59:21    Furniture store where, where Thomas Bert is, the was furniture store,  
Speaker 1    00:59:27    Past Ackman's,  
Speaker 2    00:59:28    And then Ns.  
Speaker 2    00:59:29    Alright. If you going down that street, you had the furniture store corner. Mm-hmm <affirmative>. Then n next to him was Ackman's. Mm-hmm <affirmative>. Next to him was the liquor store next to him.  
Speaker 2    00:59:41    Me, Mercer ran that. Mr. Mercer,  
Speaker 2    00:59:43    Dr. Mercer.  
Speaker 2    00:59:44    Dr. Mercer. Yeah. <laugh>. And he hit the health  
Speaker 2    00:59:49    Center. What? The health center. Then he hit the health  
Speaker 2    00:59:51    Center, which my daddy ran, right? Mm-hmm  
Speaker 2    00:59:53    <affirmative>. And that ran, I think that ran to the end of the block,  
Speaker 2    01:00:02    Not a white.  
Speaker 1    01:00:04    So down, down in there where the police station was, was the health center. Mm-hmm  
Speaker 2    01:00:08    <affirmative>. Yes. Yeah. And my dad had delivered babies there. Mm-hmm <affirmative>. Took them home, picked up mother's, but it  
Speaker 2    01:00:13    Was all, it was all upstairs. Minor  
Speaker 2    01:00:15    Surgery. Uh, he also had the office in the basement here. Mm-hmm <affirmative>. Um, and the Fox girl girls were volunteers there, uh, off and held babies when he drove them home. Drove the mother's home. There was no car seats back then. Right.  
Speaker 2    01:00:35    Nothing. Well, where Pumpkin Lee's building is now.  
Speaker 2    01:00:38    But Don, Ms. Dawson had her gift shop and clothing store.  
Speaker 2    01:00:44    No, I tell you also was right next to the Hill Center was the Saddle, which is owned by Dan Sands.  
Speaker 2    01:00:51    That's right.  
Speaker 2    01:00:54    Uh, originally before, uh, the Lees moved in, or actually quite a bit before that  
Speaker 2    01:01:06    Daws there  
Speaker 2    01:01:06    Too. And that was a Uh huh.  
Speaker 2    01:01:08    Dawson was there too. She had a gift shop and clothing store. Ms. Dawson's husband was president  
Speaker 2    01:01:15    Of. Yeah. But that was after Dan Sands, because  
Speaker 2    01:01:18    That's right after Dan Sand.  
Speaker 2    01:01:19    You walked in that door. It was one of those funny little, there was the office here and then it went up three steps. Yeah.  
Speaker 1    01:01:27    And then there was little,  
Speaker 2    01:01:28    And that was Dan's And that's still there now. Right. And that was Dan Sand's office. Mm-hmm <affirmative>. And he was not only mayor of Middleburg, he was king of little, owned the bank and everything else. And then he went down the stairs and that was still part of the salary. Right. And then in the back was where Pumpkin's father started the tack box where pumpkin is now, now called Journeyman. Right. It did the tack box, when Chuck believe died, or before he died, he bought the one across the street and gave it to his daughter Burke. Right. And she still runs it.  
Speaker 2    01:02:19    Right.  
Speaker 2    01:02:22    Chubb, Lee's other office was where the pink box is now.  
Speaker 2    01:02:25    Right.  
Speaker 2    01:02:26    That was his van office. Right. So he had like two different building of businesses.  
Speaker 2    01:02:32    Van, like a move  
Speaker 2    01:02:33    Horse,  
Speaker 2    01:02:33    Horse Horse Moving Horse  
Speaker 2    01:02:35    Services. Excuse me. Yeah.  
Speaker 2    01:02:36    She'll get outta the road to the millwork.  
Speaker 2    01:02:40    Huh?  
Speaker 2    01:02:41    Shall we go down the street to the millwork?  
Speaker 2    01:02:45    Uh, I don't, I can't remember that. I think that's always been a millwork, but owned by different people. Mm-hmm <affirmative>.  
Speaker 2    01:02:57    And then before  
Speaker 2    01:02:57    You get to Hill  
Speaker 2    01:02:58    School, right. Then you had the water works.  
Speaker 2    01:03:03    Who did  
Speaker 2    01:03:04    The town had the water works down there at the bottom next to the millwork. Mm-hmm <affirmative>. And then Hill School. And that was property was, uh, donated by Steve Clark when his daughter, oldest daughter died suddenly.  
Speaker 2    01:03:22    And, well, honey, he didn't know it when it was originally done there because that, that No, the, the property, the school was 19, whatever it  
Speaker 2    01:03:32    Was that That's right. Uh, they had 12 or something. Three teachers, Ms. Thomas, uh, Ms. Russell, and the French teacher that came from France had three worlds. And there were three people in my class. And they often consolidated our class with, with a next class because there were only three of us. There weren't very many students and set only three worlds. And then they, um, Steve Clark donated the property and they built what it, what it is now today.  
Speaker 2    01:04:16    Well, they also, he the house where Sean and Susan live.  
Speaker 2    01:04:22    Right. Ms.  
Speaker 2    01:04:23    Was Ms. Skinner's applesauce, house,  
Speaker 2    01:04:27    Applesauce, cakes, and,  
Speaker 2    01:04:29    And, and also other stuff. Chuck, Chuck me and all that. Mm-hmm <affirmative>. And that was where she started her businesses in that little house and still called Skinner Cottage  
Speaker 2    01:04:39    Ed. Uh, the Dornan building the barn, uh, was where, um, what's his name?  
Speaker 2    01:04:48    The what building?  
Speaker 2    01:04:50    The D The barn. The barn. The Dornan Building the barn. Dornan Science Center. The barn where Susan got married. The barn.  
Speaker 2    01:04:57    Oh, well you have part. Well that was part of Steve Clark.  
Speaker 2    01:05:00    I know it was, but  
Speaker 2    01:05:02    He owned all that property.  
Speaker 2    01:05:04    I know, honey. But  
Speaker 2    01:05:04    Where, where? Uh, but  
Speaker 2    01:05:06    Who was the man who had all the chickens that I got the ties from?  
Speaker 2    01:05:11    You are not talking about old, uh, guy who played baseball.  
Speaker 5    01:05:16    Yeah.  
Speaker 2    01:05:17    The White House going into selling insurance.  
Speaker 5    01:05:19    Right, right. I can't  
Speaker 2    01:05:22    Too, I always referred to it as his house. And I,  
Speaker 5    01:05:25    I  
Speaker 2    01:05:25    Know name's going right outta my  
Speaker 5    01:05:27    Mind. Mine too.  
Speaker 2    01:05:28    You talk to two dementia type here.  
Speaker 5    01:05:30    So you, uh, you're doing pretty well. I think <laugh>  
Speaker 2    01:05:35    <laugh>. Well, we're stumbling a lot.  
Speaker 1    01:05:38    When were you, you were both at the Hill School?  
Speaker 2    01:05:40    Well, I was very there very shortly, short time, because I don't even think I made it through full. I think I made it through first grade. But then we were shipped out to Kansas. 'cause my father was in the Army. Mm-hmm <affirmative>. So we were shipped out to Manhattan, Kansas. Mm-hmm <affirmative>. And I went to school out there for I think two years before he was transferred to Louisiana. And my mother and brother and nanny moved back to the farm. And then I was shipped to Stuyvesant School in Warton, which was a boarding school. It was a, it was a like a five day boarding school. But you could stay, in my case, I stayed all seven days 'cause there was nobody at home. My mother went back out to ca one. She went, yeah, she went back out to, uh, I guess went to Louisiana for a short period of time. And my brother stayed at home here with a nanny.  
Speaker 1    01:06:52    And your, your brother is younger than you? Huh? Your brother was younger than you? Yeah.  
Speaker 2    01:06:56    He's five years younger. Mm-hmm  
Speaker 1    01:06:57    <affirmative>. And his, what's his name? Hmm? What's his name?  
Speaker 2    01:07:01    James. James. James. L Jimmy.  
Speaker 5    01:07:03    Jimmy.  
Speaker 2    01:07:04    Uh,  
Speaker 5    01:07:05    He's dead.  
Speaker 2    01:07:06    He died in, uh, he died about five years. Well, guess Bone one had didn't.  
Speaker 5    01:07:11    That's good. Yeah. Yeah. Probably six.  
Speaker 2    01:07:15    He had a very, he had the same disease that my father had, which was emphysema on top of, well, COPD type. Uh, and he contracted it. And he, when they sold the place, the big house and moved over to Marshall, uh, the house they were in was completely rigged with oxygens. That's where we just had one room for her. He had one go, he went all over. He had something like, I don't know, 500 feet of tubing, <laugh>. So he lived on oxygen 24 hours a day and was continually in the hospital for it. I don't know how we got off the subject. Oh  
Speaker 5    01:08:03    Yeah. So you went to, you were Asst Hill School, so you only went there were one year. Oh,  
Speaker 2    01:08:07    Yeah. Until  
Speaker 5    01:08:07    You went to Kansas.  
Speaker 2    01:08:08    Now they got me in the same class with her. I think it's just, I've told 'em, I did a, I didn't graduate and B 1952 I was in, uh, uh, I don't know where I was in 52, but I, I wasn't at Hill School, but they put me in the class. They never moved it just because I married to her  
Speaker 2    01:08:28    <laugh> <laugh>.  
Speaker 1    01:08:30    And you went to Hill School for longer than that. I see.  
Speaker 2    01:08:33    Oh, yeah. Yeah. Uh, actually they didn't have enough students for the third grade, or second or third grade. I can't third, I think. And Kathy, Mel and I went to the public school here in Middleburg for one year. Now, my brother Dopp started at Hill and there weren't any boys in his class. So he asked the family if he could go to public school. So they let him go to the public school mm-hmm <affirmative>. So he could have some companionship. Mm-hmm <affirmative>. And he went with Wesley Boxwell who, uh, became his best friend. Wesley was a jack of all trade. There wasn't anything he couldn't do. He would, he was a wonderful photographer and a chemist. He was always mechanic chemist. He was always experimenting with the chemistry set. So Wonder didn't blow the house up in our basement. And he became head of security at Mellons, all Mellons directing and assigning the other, uh, security people where to go and what to do. And he checked on, kept on top of things. Mm-hmm <affirmative>. And he was there until he died recently. And his widow still lives here. Mm-hmm <affirmative>. Out of town.  
Speaker 2    01:09:57    Well, actually he had retired before, before he died. Uh, but he did do peace piece me. He did piecemeal work up there.  
Speaker 2    01:10:06    Yeah. He was sick.  
Speaker 2    01:10:07    If they were needed, if they needed, you know, a fill in or they needed Right. Something covered. Right. Um, it was, the Lawrences from Marshall were sort of the head of that, well, along with Wesley. Uh, but when you think of what they had to cover with the airport and Mr. Mellon flying in and out, and Ms. Mellon taking over the rest of the, you know, the gardens and everything, they were spread out pretty thin. Kathy  
Speaker 2    01:10:41    Went to work for up there. They treated her like a royalty. <laugh>.  
Speaker 5    01:10:46    Well, let's get back to middle burn <laugh>. I worry about you guys a middle. I was gonna say, yeah. Late <laugh>.  
Speaker 2    01:10:54    I'm gonna cut you loose here in the middle. Is  
Speaker 2    01:10:56    There anything else? I think, oh,  
Speaker 2    01:10:57    I'm sure there is, but Oh God,  
Speaker 2    01:10:59    Come down the street. Well, if  
Speaker 5    01:11:00    Dad wants to leave, maybe she can ask Dad, and you can stay for a few minutes.  
Speaker 2    01:11:05    Um,  
Speaker 5    01:11:05    If she needs to know anything else,  
Speaker 1    01:11:08    Tell me, um, what you did then, when you said you came back to Middleburg in 65, was that after you were at UVA?  
