People       LS,TAYLOR
Title        Interviewed 3/7/20<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/03/HeatherTaylor-scaled.jpg>
Speaker 1    00:35:06    And I just can't, I think people just don't realize what they're doing. Um, that it's, you know, it's okay around your driveway, but everything doesn't need to be like that. Mm-hmm <affirmative>. Manicured clean. If you go down Missoula, you know, it's all manicured. Right. It didn't used to be, but it is now. And the guy that does our grass, I mean, he'd been doing it forever, 50 years probably. You have to stop him 'cause he wants to do the same thing. And now he's got two guys with him and they're like out there like, no, don't go around that tree. Right. And don't go around this tree with that weed eater. So anyway, <laugh> you  
Speaker 0    00:35:41    Probably, yeah. Because everyone wants everything to be so laughter  
Speaker 1    00:35:44    Just tidy. You know, don't grass <laugh> and the trees, you know, in the summer they'll, if those big oak things, they'll get grass around, but they don't like look of that. Mm-hmm <affirmative>. So they think, you know, have to do their job and get rid of it. <laugh>. And  
Speaker 0    00:35:58    I thought, when did you get into the birdwatching?  
Speaker 1    00:36:00    Well, when I was a little girl, Uhhuh <affirmative>, my grandmother was a bird watcher. She, um, was great. She took us up into the woods and you know, she took us all, 'cause she had loads of grandchildren, but two of us really, you know, we really liked the birds. The others could, you know, I didn't care. So <laugh>, we, we became, um, really interested in them. Mm-hmm <affirmative>. So, so that  
Speaker 0    00:36:24    Must been wonderful for you to move out here and have Oh,  
Speaker 1    00:36:26    This, oh no, it was great. And it's a country and the trees, you know, she's a tree person too. Mm-hmm <affirmative>. Now my daughter's a tree person. She's an artist. But now she's doing, um, try, she's doing trees, uh, the inner tree in the bark and all this kind of thing. She's doing that to be a big, had a big show at the Laguna Art Museum with all her, um, she called Xylem. Mm-hmm. That's the inside. Now she wants to go to all the 50 states and see, um, do a tree, uh, some kind of something from some tree. And now she was here and went over to, um, Harpers Ferry. Uh, and you know, just look around to see what, what she could do mm-hmm <affirmative>. To get some ideas. That was interesting. But that tree thing has come down from my grandma to my father and then me <laugh>. Right.  
Speaker 0    00:37:16    And how has the bird population changed here?  
Speaker 1    00:37:20    Uh, yes. We  
Speaker 0    00:37:21    Were just talking about that with Naty. Kay. 'cause she was saying that she would go out to, as a realtor. Yeah. So whenever she would sell a big property, she would ask if she could come hunt there. So she would go out a couple days a week and be able to hunt quail and Yes. But there's, birds aren't here anymore.  
Speaker 1    00:37:37    Yeah. I think that's what I was thinking about. Wondering about those Bob whites and mm-hmm <affirmative>. Um, if they would be, you know, still around. I, we do the Cornell Bird count. We've done that for, well, I was one of the first people to do it. So I think it's about 25 year three, maybe 30 mm-hmm <affirmative>. Um, you do it once a week. And like the weekend, we're doing it for two days. Today. We've got this thing out in the kitchen. But, um, you do notice, like my favorites were white throated sparrows. They're little things. They have a little white bib, like, and then they have stripe. And we used to have at least, um, well around 15, 16 around the feeders. Mm-hmm <affirmative>. Um, and this year we have two. And so there's been a change in that. Um, they're the ones I've noticed most. And it's, there seems to be chickies. Last year people said there weren't many of those, but we've had them still coming. But I think, and also we had this crazy winter we didn't snow. And so you wonder if they're just up north Right. A little more. Right. Because that's where they go in the winter. I mean the summer though. Right. They're breeding all the way, you know, up there. But we still have tons of cardinals and pit mice. Not hatches, redheaded woodpeckers. Um,  
Speaker 0    00:38:56    Blue Jays. I see  
Speaker 1    00:38:57    Blue Jays, a lot of those. But the redheads, um, they weren't here. They, I mean, I'd seen them Sky meadows and around different places, but they weren't here until about five years ago at our place. And they've just seemed to taken over. They're like three or four on the feeder maybe at one time. Mm-hmm <affirmative>. And Friends wouldn't believe us. We took a picture, you know. But they're, they're, they're, uh, now becoming common, which is good. A new, you know, 'cause we did the counts at Christmas time. There were loads of them spotted. It's interesting. And  
Speaker 0    00:39:29    Where do you do the counts? That's  
Speaker 1    00:39:30    Right here. There's a, a call me's neck count and a Loudoun Conservancy count. Um, we did two. It, it's usually horrible weather, but you, um, walk a little and you can drive. But a lot of places let you come in farms. Mm-hmm <affirmative>. In Upperville. Um, we did them. And then down back of Aldi, have you seen that Tail Race road? Yes. That's on one borderline and goes way back in there. Mm-hmm <affirmative>. It's interesting that they've done that for Christmas. Bird counts. I don't know how many years they've done that. We don't always do it, but, but we did this year. And we are, we're happy to. We're happy we did. And, and saw a lot of birds.  
Speaker 0    00:40:11    And now the, um, the Eagles are back. Mm-hmm  
Speaker 1    00:40:16    <affirmative>. Dad know they, they're up there. Do know where that nest is, right up Zula. Mm-hmm <affirmative>.  
Speaker 0    00:40:22    There's one on a Toka too. And there's one back in.  
Speaker 1    00:40:24    Oh, farm Toka Know. Where's that one? I don't know about that.  
Speaker 0    00:40:27    So there's one on the corner, sort of Carter's mill and Toka. Yeah. And then back down in which you really can't get back down there except on a horse. But there's a, there's a, there's a piece of property back in a Toka farm where you go down in this sort of like a hollow Oh. And there's a big tree where they've got a nest. A huge thing. Yeah.  
Speaker 1    00:40:49    Oh, does that go down toward Crenshaw? Mm-hmm  
Speaker 0    00:40:52    <affirmative>. Yeah. Um, let's see. No. Yes, yes. Yeah. It would be going down towards Crenshaw, sort of on the front, a hill  
Speaker 1    00:40:58    Front side going down. Mm-hmm <affirmative>. Oh, that's so interesting. But you can't see it from the car?  
Speaker 0    00:41:04    No, I don't think, I don't believe you could see it from a car. This one. It's just that I had Yeah. Ride back in there.  
Speaker 1    00:41:10    No. Did they go back And I wonder, I'll tell Jim the boys, 'cause they go on the bikes, right. Or the side, you know, mountain bikes. Mm-hmm <affirmative>. They could look for it because there was one on, um, melons when Mellon was, tell her Mrs. Mellon was still alive, Dr. By, which was a good name for him, for Ornithologist from William and Mary <laugh>, Dr. Bird. He came up here. Um, and that was one of the nests he monitored. But I'm not sure it was there. It might have been. Hmm. You know, in those days I always thought it was, you know, on the other side of the creek, up on the millons. But I never saw it. So I don't know. But this one over here, um, on Maggie Bryants that you can see from the road and the blue gate is there and it usually open. Right. But you can see  
Speaker 0    00:41:57    Oh, I know where that blue gate  
Speaker 1    00:41:59    Is. Yeah. And that binoculars look back there and you can't see it in the summer. But now there's this huge nest. They've been there for a long time. <laugh>. Right. And the other day I went and it, you could see the white head. So someone's sitting on the next.  
Speaker 0    00:42:11    Right. So that's good. Well, they're so protected. They're Yeah. But they're like, no one's gonna, well we went to Alaska and they're just like pigeons.  
Speaker 1    00:42:20    Oh, I know <laugh>. It's funny. I've never been up there, but, but here, you know, it's, people are like, oh, there's a bald eagle, you know, wonderful. Uhhuh, <affirmative>, <laugh>. We got the fellow that cuts our grass, he hunts back here. And so we got him, he has to gut the deer. And then he takes them and he actually gives them to the Food Bank of Marshall. Mm-hmm <affirmative>. But he gets a lot of 'em easily. So if he guts them over on the hill over there, then the Eagles come and you can see 'em. Yeah. And I haven't seen them this year  
Speaker 0    00:42:50    Because they're big scavengers.  
Speaker 1    00:42:52    Yeah. So they're coming to, ah, they're some nice meat. Mm-hmm <affirmative>. You know, for me. So that was good.  
Speaker 0    00:42:59    Now did you have property out in, uh,  
Speaker 1    00:43:06    Upperville?  
Speaker 0    00:43:07    Not Upperville, but Hume.  
Speaker 1    00:43:10    Oh yes. In Markham. Markham. Markham. Yeah. We had, we still have some property, but we had a cabin there for many years. Right. But we, we've sold it. Mm-hmm <affirmative>. I think we built that in 60. But we built it before we came out here. Oh, you  
Speaker 0    00:43:22    Did? Yeah.  
Speaker 1    00:43:23    And then, um, my first husband was like, we'll move there. Will this enlarge? And I'm like, no, no, because too far away.  
Speaker 0    00:43:31    Yeah. With kids.  
Speaker 1    00:43:32    But Kelsey's been there. Little Billy, he, he got that old place there a long time ago. But you know, the cabin was kind of, it was so much fun. Right. He had a pond and it was lovely. So  
Speaker 0    00:43:45    Enjoyed that I've been there. Um, because she took me there because I hunt morell mushrooms.  
Speaker 1    00:43:49    Oh, you're the one that Morell Hunter? Yeah. Oh, that's  
Speaker 0    00:43:52    Good. And she told me, oh, Billy used to go up and hunt Morell's. Yeah.  
Speaker 1    00:43:57    Yeah.  
Speaker 0    00:43:58    So I said, oh, you  
Speaker 1    00:43:59    Should go up  
Speaker 0    00:43:59    There. Tell would you please take me? So she's taken me up there.  
Speaker 1    00:44:03    Yeah, good. 'cause that, um, we still have that property up on the mountain. Oh you do? Yeah. You go up and you cross the cattle guard. Right. And then you bear left and there's a road and there's a gate there. And then, um, that's a, um,  
Speaker 0    00:44:18    There's like an apple orchard there.  
Speaker 1    00:44:21    No, there's no apple orchard. Hmm. But you might have gone on, uh, what's it called? Fiery run road.  
Speaker 0    00:44:26    Yes. That's where I went up  
Speaker 1    00:44:27    There. So you must have gone past the cabin entrance. Right. Is on just past the railroad tracks. You go left. That's going up to the cabin.  
Speaker 0    00:44:36    So you're going up fiery run  
Speaker 1    00:44:39    Across,  
Speaker 0    00:44:40    Here's the train tracks. Yeah. And there's that like turn there.  
Speaker 1    00:44:44    Yeah. You just, you go just after the train tracks that does bear, that's, and then you first left. Mm-hmm <affirmative>. It's a, it's a rocky looking drive. Yes. Steep drive. That's where you go up. Yeah. So that is a right of way. And then the cabin property was like after the cattle guard mm-hmm <affirmative>. Um, and it went that way. But then the land came down off to the left. There was another tract of land mm-hmm <affirmative>. And goes way up there. And we sold that like 20 years ago for a cell tower. Right. Just let 'em put one there on like what, however many square feet. Right. But that they have to keep up that road so you can get up there. Oh. Into the top where it's really pretty. So that'd  
Speaker 0    00:45:25    Be okay. Mm-hmm  
Speaker 1    00:45:26    <affirmative>. Yeah, anytime. Okay. The comp. So  
Speaker 0    00:45:29    You don't go up fiery run. You go up this. Oh, that'd be so much better because we end up going up fiery run and then like, parking on the road really. Or parking where those people have the little orchard place. Yes. And sort of not probably kosher. Yeah. And then just sort of bush whacking our way back in. Yeah.  
Speaker 1    00:45:49    No, no, no. Don't just go right up there and then just there. You'll just bear up. Because those, you'll  
Speaker 0    00:45:55    See those hills are perfect there.  
Speaker 1    00:45:57    They're perfect up there. And that, that road will let you drive right up, you know, up there and it's, you know. Yeah. See all the mores on the way. <laugh>. But Kelsey knows, 'cause she walks up there sometimes. Yeah.  
Speaker 0    00:46:10    She  
Speaker 1    00:46:10    Walked.  
Speaker 0    00:46:10    Yeah, she's, she's  
Speaker 1    00:46:11    Walked up there. She must think that Marrell spot is over, over there by the orchard. But that's not our property there.  
Speaker 0    00:46:18    I know.  
Speaker 1    00:46:19    No. So that, I don't know who that, that may be the woman that bought the cabin. 'cause she owned land on fiery run up past ours.  
Speaker 1    00:46:29    And then on up. And then she had this, I think it was a hun. How much was it there? I don't know. Anyway, she had a, it was her, she and her brother owned a place off to the left. You might might've seen it. Mm-hmm <affirmative>. I don't know whether the Apple os were on her place or not. Right. But then, um, she wanted our, the cabin, 'cause it had 150 acres and she wanted to give 50 acres to each of her sons or something. Oh, nice. So she got it. So, and I haven't, I'm always up there with my husband and he refused to go in <laugh>. I would've gone in and Snoop. Now Olivia went in, she went in there with Peter and she saw that, she said it didn't look like they're keeping it up very well. And I was like, oh, no, no, no <laugh>. But it's, um, anyway, we planted trees around it. I just like to see how big they've gone. Right. It'd  
Speaker 0    00:47:16    Be fun. So that, but the house that Kelsey's in, she said was Bill's aunt.  
Speaker 1    00:47:22    Yeah. That was, um, oh, more than that. She was like his great great aunt or something like that. Mm-hmm <affirmative>. Yeah. That's not part of the property. But it was, um, that would came for sale because some, whoever had bought it from them, the Edsons, um, they were all related to the Leachman. Um, they let the pipes freeze up and the radiators rolled that freeze up and they didn't pay their mortgage and the whole sink gone. So Bill bought that, um, for a song. And then he, at some old place in, um, prince Royal had a house where they had radiators, um, they wanna get rid of. So he got those, which whatever he needed. Um, that's how that owl hap it's a beautiful house, but it's a nice old house.  
Speaker 0    00:48:06    Yeah, it is a  
Speaker 1    00:48:07    Nice house. She's got it for sale, you know. But she's sick. Poor Kelsey. She kept me in the Texas this morning. She had to go to Haymarket.  
Speaker 0    00:48:16    I heard that  
Speaker 1    00:48:16    Because she worried that she, you know, I was worried that she had the corn, the virus. Right. Bad virus. But I think she, she, what they said is she's got the flu and acute bronchitis, but she could hardly talk last night. Right. So anyway, joy. Joy, her  
Speaker 0    00:48:32    Joy. I know.  
Speaker 1    00:48:34    Thank  
Speaker 0    00:48:34    Goodness. Just, I was at another meeting and I was supposed to see Joy later. And I, I saw Joy yesterday and I said, good. Had did you check on Kelsey? Because when I texted her this morning Yes. 'cause I was supposed to see her Thursday night and she said to text me Thursday and said, oh no, she wasn't well sick. So then I said yesterday I just checked on, on Kelsey, you should check on her too. And she said, I'm glad you said that because I went with the, to the ER with her today because she couldn't,  
Speaker 1    00:49:02    Last night she could barely talk. And I said, that's the only thing you can do is go to the er, could you go to Winchester? And she said, well, I'd rather go to Haymarket. Which is, that's a big hospital now. Right. I never go over there that way. So I don't see it. But Right. Evidently they were good and they gave her antibiotic and, but Dr. Griffith, you know these doctors, they don't want people in their office. Right. In case they have it. And then here we are on like the dangerous age that they say don't go around. And we had to go to Hopkins 'cause Richard had a surgery in um, January and he had to go over there, uh, Wednesday for checkups. So had to spend the night. So we were in love a bad spot. Right. But the doctor said, we're just doing the elbow and you know, touching shoes and this kind of thing. But one of 'em was very worried 'cause had a plan trip to Italy and then, um, he's afraid to go because he thinks when he gets back he'll be quarantined. Yeah.  
Speaker 0    00:49:55    Well  
Speaker 1    00:49:55    There's saying he can't afford two weeks outta  
Speaker 0    00:49:57    Work. They're saying at C'S school that anybody goes to a tier one country, they can't come to school for two weeks. Oh  
Speaker 1    00:50:04    Yeah.  
Speaker 0    00:50:05    Interesting. And they're not penalized for it. They'll have work and whatever. Yeah. Still, but they just want them to self isolate. Yeah.  
Speaker 1    00:50:10    Well I think they're gonna have to do that at Hill School as well. Jim was saying this morning that, you know, there people, someone got a, the Italy trip on at the auction. Oh, hill school auction last year, I guess May when they had that. Right. And they went, um, recently or he went and took the daughter. And so when she came back, then they had to ask her to stay home from school and then the brothers had to stay home from school too. Right. I don't know what their name is. Um, I don't know them, but it's, yeah, it's serious. So anyway, Kelsey, I said, do you need something? Do you need food? And we could do anything. You bring it over and drop it on your porch. So I think Jim Mead, you are gonna take something. But Molly had brought things. Kelsey said she doesn't need anything. Right. Well, she said that just, you know, I don't know if  
Speaker 0    00:51:00    She, she doesn't wanna worry anybody. I  
Speaker 1    00:51:02    Don't, she doesn't want Yeah. Doesn't want anybody to bother. Right,  
Speaker 0    00:51:05    Right. Well I got a big pot of chicken broth making yay. Overnight. So when it's done tomorrow I'm gonna  
Speaker 1    00:51:12    Get her take it over there. I'll take some over there. Oh, that's sweet. 'cause we really take care of her. 'cause she, you know, you get something like that, it's so hard to recover. And she by herself. Right. So worried me, Richard said, well, what can we do that not a lot  
Speaker 0    00:51:27    <laugh>. Well, she just needs a rest. She goes, yeah.  
Speaker 1    00:51:29    She goes, just stay home  
Speaker 0    00:51:30    So fast.  
Speaker 1    00:51:31    Yeah. I think she, she said she might've gotten it on her Florida trip on the plane, but you don't know. Mm-hmm  
Speaker 0    00:51:37    <affirmative>.  
Speaker 1    00:51:38    It could have been, it couldn't have been from anywhere. You never know. <laugh>, you know.  
Speaker 0    00:51:42    No, you  
Speaker 1    00:51:43    Don't know. One year. We were supposed to go to Montana, I guess about a couple years ago and we, Richard and I both got the flu and it was in June. Mm-hmm <affirmative>. And we couldn't go, you know, cancel, but everyone else could go. But we couldn't <laugh> until he saw ourselves at home. I know. Very bad.  
Speaker 0    00:52:00    When you took over the lumber business, were there a lot of women that had, um, owned businesses in the area? Did was that an issue that you were a woman in that, in that industry?  
Speaker 1    00:52:14    Yeah. Yeah, of course. You know, but everybody was nice to me and, uh, the people that worked there were absolutely super, you know, they couldn't have been nicer. They tried to help in any way they could. And, you know, until I, the manager, Sam Uptake, he's still living in front Royal. He's absolutely was wonderful. And, um, everybody was, I, I must say, and I knew I couldn't run the thing, you know, totally by myself. But, so about three years, I got, um, fellow that I'd known that through a bank and he wanted to do it. And he's the one that bought it in the long run, but he was, um, CEO and I was chairman of the board after that. Mm-hmm <affirmative>. Which is better, but I just so went there all the time. Right. 'cause just to keep track what was going on. And then the housing sales were doing.  
Speaker 1    00:53:06    Well, you know, we've got some, it started summer cabins when my first husband sold and we sold, um, because we didn't sell much lumber, because as soon as he bought that place, then, um, they opened the Millburn millwork. And so they were getting a lot of business and there wasn't enough business for everybody. So we started the HO Housing. Um, and people were building, uh, small houses ca, you know, cabins up in Shenandoah Farms. Mm-hmm <affirmative>. In West Virginia. Mm-hmm <affirmative>. And, um, we suppli a lot of them. And there's some nice ones around. And Jimmy Mills even bought two of our so-called Rotundas, which was a square house with a skylight on the roof. He bought two of them and put 'em together over in his farm. But that was in the seventies that he did that. I don't know if they're still there or not.  
Speaker 0    00:53:54    So those were sort of prefabricated.  
Speaker 1    00:53:56    Mm-hmm <affirmative>. He made the cabin patents and all in the mill there. Yeah. It was an interest. It was interesting. And I don't know if that building back there was actually a fat little factory. We made all the panels and I had all the machines to nail, you know mm-hmm <affirmative>. Nail things together. So it made a panel. It didn't, you know, there it, like that wall would come and the window holes would be there. But interesting. And I see that now, now that it's 20, 20, 20, they're going down 50. Right. You see 'em all the time. Right. So they're going to those subdivisions, that's how they're doing them, which is, you know, it's a sensible way of doing it. Mm-hmm <affirmative>. You can still put 'em up, you totally insulate. And then you do have to do the work inside. But basically you're, you can get your house up pretty quick.  
Speaker 0    00:54:47    But you were making the panels there. I mean, it was not a industrial process. It was more a, a artisanal process.  
Speaker 1    00:54:57    Well, I know what you would call it. I mean, you, the, we had the, the, the, um, regular lumber, two by fours, two by sixes, all that. And then we had the p plywood for the outside mm-hmm <affirmative>. For if it was going to be, um, the, uh, what's, what do you call it? I've forgotten all my terms. <laugh>, the siding, uh, that was not wood for ca perhaps they would put that on there. Mm-hmm <affirmative>. But a lot of it on the cabins was plywood siding, you know, and you probably didn't last as last long as it should. But, you know, for, you could stain it and do anything you want with it, but you could make a panel with it, you know, so you didn't have to, to go and, you know, put it all on by hand. Right. It was put on by hand. But it was, it was in the factory with, and they had the up above with a nail machines. Yeah, it did. Did it. So it's  
Speaker 0    00:55:55    Basically, and did you all build that factory?  
Speaker 1    00:55:58    Yeah. Mm-hmm <affirmative>. Yeah. It's in the back of that property. Mm-hmm <affirmative>. If you go straight back, um, it's a big building. It goes like this. Mm-hmm <affirmative>. And that's, that's in there. And the front of that property is zoned industrial. Um, the back is agricultural. So you know what will happen there. My friends always wanted me to build low cost housing in there, but I wasn't willing to do that in Upperville. Mm-hmm <affirmative>. That they'd go crazy <laugh>. Right. One woman tried to, it started to argue with me at the Safeway when I was trying to check out this after I'd sold the business. And she said, do you know what they're doing there at the northern counties? They're having these auctions at night and they're disturbing all the neighbors. I said, I'm sorry, but I can't do anything about it. Right. I've sold it. Well, well, I just wanted you to know <laugh>, it's like a small town thing.  
Speaker 1    00:56:50    That's so funny. There's not many houses out there. No. There's, there's a volunteer fire department and Well, and there's a little house used to belong to Mrs. Sing. Um, and well drillers across the street. Mm-hmm <affirmative>. But, um, that property would be fine for some housing for Windy Hill or anything for Windy Hill for Yeah. I know. I know. People have to, it may come to that eventually, but Well, people have to drive so far between work and their home. They don't. That's exactly right. And Fred Spencer, I don't know if you ever knew him at all. Mm-hmm. He built a few houses back in there, and he's married to Molly Debuts and, you know, was relative to everybody, but he got in a lot of trouble for building those houses, you know, all kinds of complaints and, you know, but it's, um, bad. Why bad?  
Speaker 1    00:57:41    'cause people didn't want, they didn't want the houses. Mm-hmm <affirmative>. You know, but they don't have to then realize where are people going to live, you know, and they, now we have the Windy Hill, they've done a lot of work with that and that out at, um, unison, um, and then off, um, Ville Road out there. I mean, there were some places out there with no plumbing and, you know, it was pretty rough. Right. So they've done something about that. But it's hard, you know, this is Brigadoon and, and Brigadoon, you don't worry about all that. You don't want a lot of houses around. You just want Meadows. And, you know, it's tough. It's really tough. Mm-hmm <affirmative>. You know, and that's why we never even, I didn't consider it, you know, maybe have to be a bit gutsy, <laugh>. I just don't care what people or not care.  
Speaker 1    00:58:34    Not care. Just say that's what we're doing. You know? Right. So I'm the one who came up in the meeting and, and, uh, about the retirement home at east of Middleburg and said, we need, we need a retirement home. Mm-hmm <affirmative>. And then someone said, well, we already have one, but it just only has room for 15 people. Right. You know, we need something bigger. We didn't need that big, but we need something. But, um, so I open my big mouth, I guess the older I get <laugh>, but I still, we do. And my husband and I would love to be able to move out of here into something else around here, so that, you know. Right. But we, there's nothing to move into, so, no. And if you move into town, that's just moving to another house. But when you, if you really wanna move, you wanna move into a place, place where you, you know, we can retirement home. Right. Something where you'll be taken care of, like Westminster Canterbury or something like that. Yes. That's where the morphs did go.  
Speaker 0    00:59:30    Yeah. There's,  
Speaker 1    00:59:31    And, uh, they liked it.  
Speaker 0    00:59:32    Yeah. They went to the one in Charlottesville. Mm-hmm <affirmative>. And then there's one in Winchester, I  
Speaker 1    00:59:36    Think. Yeah. We've got friends in the Winchester one, and I, I knew they've got that. And then there's some, somebody we knew was at, um, the Northern neck. There's one down there. Mm-hmm <affirmative>. Westminster Canterbury. Isn't  
Speaker 0    00:59:48    There a place in Marshall?  
Speaker 1    00:59:49    Um, there, there was, and I don't know if it's still there. I  
Speaker 0    00:59:53    Don't know either.  
Speaker 1    00:59:54    That's a nursing home. Really? I think. And they, they took Alzheimer's patients. I know that. Mm-hmm <affirmative>. So there's a little bit, you know, that was different. Not what we're looking for. Right. Because, um, he's up in West Pit, up there is Mayo Brown and Oh, yeah. He said, I have something going on all the time. If you wanted to,  
Speaker 0    01:00:14    I'd like to talk to him. Do you know him? Yes. I wonder if you might pass him my number. Okay. Or give me his contact.  
Speaker 1    01:00:20    I know he would. He's a wonderful person.  
Speaker 0    01:00:22    He would, he has a lot of good stories,  
Speaker 1    01:00:23    I hear. Yes, he does. And he, I can be, I'm glad he actually called Richard just yesterday. They're good friends. But he's, he's, um, he was here years and years ago. He can't hear very well if that would be a problem. Mm-hmm <affirmative>. You'd have to really yell. Right. You know, he's got hearing aids, but he's 90, how old is he? 90 something, 95.  
Speaker 0    01:00:47    Well, I see him in the hairdresser in Marshall. I saw him once. Huh? He comes in and Marshall to get his hair cut still.  
Speaker 1    01:00:53    Well, where do you go in Marshall, Gary? Well,  
Speaker 0    01:00:55    I just went there once. I actually go into Middleburg, but the girl that I see was having a baby, so she, so I went down to this place in Marshall.  
Speaker 1    01:01:04    Is that blue, right? Blue? Is that all right? Is that good? Well,  
Speaker 0    01:01:08    I just went there the one time.  
Speaker 1    01:01:09    One time. Yeah. Well, who do you go to in Mar in Middleburg yet?  
Speaker 0    01:01:11    Uh, Katie, her name is, she's wonderful. She's at Dwight Grant's salon. At Salon Aubrey. Okay. Right there next to the liquor store.  
Speaker 1    01:01:20    Yes. I gotcha. I've better write it down.  
Speaker 0    01:01:22    Her name's Katie and  
Speaker 1    01:01:23    Mine's retired, so I have need my haircut.  
Speaker 0    01:01:25    <laugh>. Oh, she's fantastic. She has two little kids. Good. And they live on, um, oh, I think they live in a place on Claude Shock's property.  
Speaker 1    01:01:35    Okay. Um, that's Dwight. Mm-hmm <affirmative>. Dwight's. Yeah, I know where that is.  
Speaker 0    01:01:42    Slon. Aubrey can actually go online and make an appointment. Don't even have to talk to anybody anymore.  
Speaker 1    01:01:47    Okay. That's great. Thank you. I had Georgia and she was always good. And then she moved up to Millwood. She said, oh, you won't want a cold. Come all the way up there. And I said, oh, yes, I would. Because lock door's right next door. <laugh>, she was right next door. And I think  
Speaker 0    01:02:02    I know exactly where that was. Her daughter was, she's not there anymore.  
Speaker 1    01:02:05    She's not, she's retired. Her daughter was there, but her daughter, um, didn't get my hair. She, she wanted to do all this stuff, and I, I'm not ready for that. <laugh>  
Speaker 0    01:02:13    <laugh>.  
Speaker 1    01:02:14    So we had to park ways. Well,  
Speaker 0    01:02:16    Katie will do whatever you want. That's  
Speaker 1    01:02:18    Good. She's  
Speaker 0    01:02:19    A very good,  
Speaker 1    01:02:20    So that, thank you.  
Speaker 0    01:02:21    Good, good.  
Speaker 1    01:02:22    Sort. Very nice. So I don't know if you have any more  
Speaker 0    01:02:26    Questions. Tell me about the, I, I hear so much about the social life here and how people were just always getting together and having dinner parties  
Speaker 1    01:02:38    And Yes. Oh, no. There were a a lot in there. Not now. Well, I'm not, maybe I'm not going to 'em, but there's, there always was a cocktail party. Yeah. You know, and there was all the hunt breakfasts. Mm-hmm <affirmative>. Um, that was interesting. And, you know, people, well, now our age, we don't do all that stuff now. Cocktail parties, dinner parties. Mm-hmm <affirmative>. A lot. Mm-hmm <affirmative>. But, um, it's not, it's too bad. I think we should have one every so often. <laugh>. Yeah,  
Speaker 0    01:03:02    Absolutely. You get dressed  
Speaker 1    01:03:03    Up. I had in a long time. I don't, but I think, do you still, do you go to a lot of cocktail parties? I,  
Speaker 0    01:03:10    You know, not as many big ones. No. I feel like there used to be bigger ones, even 10 years ago where you would go, and now maybe it's Christmas or mm-hmm <affirmative>. Around the races or  
Speaker 1    01:03:22    Something. We used to have a party at Christmas and, you know mm-hmm <affirmative>. It was great, you know, but we just have people over for supper, you know, that kinda stuff.  
Speaker 0    01:03:28    Right.  
Speaker 1    01:03:29    But, because also we have, we had bad hearing <laugh>, bad hearing. My husband was a pilot, and he, he definitely has bad hearing, but I've just got it from genetics. And some of my cousins, I asked him, oh yeah, we're, we're hearing aids. Oh. So that's a problem at big parties, because you can't hear a darn, can't hear  
Speaker 0    01:03:48    Anything.  
Speaker 1    01:03:48    Or if you're at a table with like 10 people, a round table, like at the auction, no <laugh>, you can talk to the person next door, but next to you. But that's all.  
Speaker 0    01:03:59    And all your kids went to the Hill School. Mm-hmm  
Speaker 1    01:04:02    <affirmative>.  
Speaker 0    01:04:03    Yeah.  
Speaker 1    01:04:03    Yes, they did. Yeah. They got there and they went, bill went to St. James, which is up in, uh, Maryland. Mm-hmm <affirmative>. Kristen went to Foxcroft, and Jim went to, um, Episcopal. So they stayed around. Mm-hmm <affirmative>. You know, and then they went off to college. Bill said he didn't wanna go anywhere but Virginia <laugh>. I remember that. I said, well, that's good because they won't have to drive so far. Right. So we drove out in the apartments. We went was, uh, Lynchburg, what is down there? Oh, Hampton, Sydney. Mm-hmm <affirmative>. He went to WL which is nice. So we weren't hoping, I'm just hoping to hear from Hannah. Yes. That she might have gotten into UVA or, I don't know. That's a long shot. There was so many people blind. There's so many people. And Bill wouldn't have gotten into WL Somebody said as soon as they got the girls, it got really hard there. <laugh>. That was good. And my nieces, one of my nieces went to, was the fir in the first law school class down there. Girl. First woman in the golf school. They were six of them. And then all men. So she, she's had a good time. <laugh>, because she <laugh>. But she's older now. Right? She's about Sally. She, she's probably almost 70 mm. <laugh>.  
Speaker 0    01:05:19    Was she still practice law?  
Speaker 1    01:05:21    No. When she retired, she was with, what'd she go with when she got out? She went with the National Labor Relations Board in DC. Oh, neat. You know, she was a smart cookie. Mm-hmm <affirmative>. Her. Then she met her husband. She went to some place in Chicago. Then she met her husband and got married. Mm-hmm <affirmative>. And she lives now in Fort Lauderdale, <laugh>. So, and retired. But they didn't retire that he actually went with Waste Management or something as a lawyer, and then ended up in Fort Lauderdale. So it's not a bad place to be. No. That's  
Speaker 0    01:05:50    A lot of people wanna go. Yeah,  
Speaker 1    01:05:51    I know.  
Speaker 0    01:05:52    End up there.  
Speaker 1    01:05:53    He really, well,  
Speaker 0    01:05:55    What do you, what do you think is the biggest thing that's changed about Middleburg in the time you've been here?  
