
People  LS,LS,MCLEOD
Title   Interviewed 2/7/20<br>by Lydia Strohl <https://bloximages.chicago2.vip.townnews.com/loudounnow.com/content/tncms/assets/v3/editorial/0/94/0949ae1e-f8fc-11ee-a606-2f03337f3f5a/6619801190c97.image.jpg?resize=990%2C820>
Speaker 1    00:35:00    And there was, uh, there's still a bar there right. In their house where Right. You all had some good times there.  
Speaker 2    00:35:09    And Annie Morgan loved her telephone. She in the long wire court, she'd bring the phone over by the court <laugh>.  
Speaker 1    00:35:18    When then did you also help with the tennis club as it is now? Where it is now? When did they  
Speaker 2    00:35:25    Oh, out there? Oh yeah. Oh yeah.  
Speaker 1    00:35:28    Yeah.  
Speaker 2    00:35:29    Well they had a committee and everything and the reason they moved there, it needed to be expanded and Alice Mills sold them the land for practically nothing. That's the major reason we were there, was due to Alice Mills Gen generosity. Right,  
Speaker 1    00:35:47    Right. And when you came, you and your husband both played tennis.  
Speaker 2    00:35:54    Yeah. But he, he was more of a golfer than a tennis player. Right.  
Speaker 1    00:36:02    Ha. The tennis club has grown a lot over  
Speaker 2    00:36:04    The years. Oh yeah.  
Speaker 1    00:36:06    So it originally was 10. Pardon? It was 10 families. Yeah. Who were the other families, do you remember?  
Speaker 2    00:36:13    Oh, let's see. There were the Morgans, the Cle, the Bentleys, uh,  
Speaker 0    00:36:28    Whatever.  
Speaker 2    00:36:29    I'm trying to think of.  
Speaker 0    00:36:31    Paid  
Speaker 2    00:36:32    Gatherers, ambassador of Germany. His family were in it.  
Speaker 0    00:36:36    So I used the credit card as I saw  
Speaker 2    00:36:39    You could look that up.  
Speaker 0    00:36:41    And when things change,  
Speaker 2    00:36:44    <laugh>,  
Speaker 1    00:36:45    I will look that up. What else would you like to tell me about Upperville  
Speaker 2    00:36:52    Next? Upperville is just a hot day social. And you know, it's really interesting, I think, I'm not sure about this, but more people live in Upperville that a descendant of Robert E. Lee than any place. And they all handsome men. Lee must have been a handsome man too. Right.  
Speaker 1    00:37:12    He had a lot of children.  
Speaker 2    00:37:13    Pardon?  
Speaker 1    00:37:14    He must have had a lot of children then.  
Speaker 2    00:37:16    Well, no, Lee, our pavilions now would be his great, great grandchildren. So, you  
Speaker 1    00:37:29    Know. Did he live in Upperville?  
Speaker 2    00:37:32    I think he did.  
Speaker 1    00:37:33    I don't know the, I don't know that  
Speaker 2    00:37:35    The family is from here. Right, right. No, they lived at where the cemetery is now. They own that house in what? Uh, the National cemetery. That beautiful colonial, that was the Lee House  
Speaker 1    00:37:55    In Washington.  
Speaker 2    00:37:56    It's on the Virginia side. Yeah,  
Speaker 1    00:37:58    On the Virginia side. Yeah. Where you can see it when you come across the bridge. Right, right. That was the Lee House. Mm-hmm <affirmative>. But they were from Upperville.  
Speaker 2    00:38:06    I don't know whether they were from Upperville particularly, but they were Virginians. Right.  
Speaker 0    00:38:12    Six.  
Speaker 1    00:38:13    So you think a lot of the, what are the issues in Upperville now that people are worried about?  
Speaker 2    00:38:19    I don't know. <laugh>? I have no idea. Oh,  
Speaker 1    00:38:24    You said it was, there was a lot of social unrest.  
Speaker 2    00:38:28    Yeah. But they, um, and you see the Uphill Horse show has goes back over a hundred years too.  
Speaker 1    00:38:40    Yeah. That has expanded a lot over even since. Right. I've been here 20 something years. August. It's become,  
Speaker 2    00:38:51    Well, it's a class a horse show now. Right. Probably one of the best in the country.  
Speaker 1    00:38:57    Beautiful. Do you go over to there?  
Speaker 2    00:39:01    Uh, yeah. I, I not big on horse shows, but I, I go over and I go to the luncheon and things like that. Now I learned, we used to have a Keep a box there, but I dropped that up, he said,  
Speaker 1    00:39:14    Right. Your box at Saratoga, is it dedicated to you? So whenever you wanna go, you can go  
Speaker 2    00:39:21    There. Yeah. Well I have, uh, I take it for the season and then I, um, invite people to sit in it and everything and every day. And it, it's nice. And everybody from Virginia knows where it is and they sort don't just check in there when they come. Right.  
Speaker 1    00:39:38    That's very nice. Mm-hmm <affirmative>. You're the first lady of racing in Virginia.  
Speaker 2    00:39:42    <laugh>. Well try to be reasonable.  
Speaker 1    00:39:48    Well, thank you very much for talking  
Speaker 2    00:39:50    To Well, I've enjoyed talking to you.  
Speaker 1    00:39:52    It's really a  
Speaker 2    00:39:53    Pleasure. But you can find out if you go down, I guess all this stuff now is in this museum. Well,  
Speaker 1    00:40:02    That's what we're collecting it for.  
Speaker 2    00:40:04    Right.  
Speaker 1    00:40:05    Collected  
Speaker 2    00:40:06    All in one  
Speaker 1    00:40:07    Place. We're trying to get the, you know, businesses, institutions like the tennis club, schools like Hill School and Foxcroft and things that are, um, original to this local area. Mm-hmm  
Speaker 2    00:40:21    <affirmative>. Well, this, this, I commissioned this at Saratoga the first year we were married. No, the first year we were married. We raised in Chicago second year. And I commissioned Jean Boland to paint er, and she took a lot of pictures and everything. And of course she lived right across the mountain so she could come over here and look at the horse and everything. He was retired by then. And that I surprised Sandy and gave that to him for Christmas. Of course. He just loved it. Mm-hmm <affirmative>. And, um,  
Speaker 1    00:41:00    Did you have, uh, then a lot of horses from this horse?  
Speaker 2    00:41:05    Yeah. Oh yeah. We bred him. You  
Speaker 1    00:41:07    Bred him  
Speaker 2    00:41:07    And had alum wine. It amazed me enough. All of Sers Pro all had that same lovely head. They looked a lot alike. Wow. Wow. In fact, we tattooed them so that we could tell 'em apart  
Speaker 1    00:41:24    And, but none of them ever did as well as he did.  
Speaker 2    00:41:29    Well, some of them did pretty well. Seven. Yeah. Because if you don't do well, you're out of business. You have to win a certain amount of money Yeah. And everything. But it was a great advantage to have the racetrack here and be able to ship, just ship race for the day at Laurel and Pen cup. Right?  
Speaker 1    00:41:54    Mm-hmm <affirmative>. Right. Because that gave you a lot of experience.  
Speaker 2    00:41:58    Well, gave for your horses. Good for the horses. Right. And also pick up a little money. Right.  
Speaker 1    00:42:05    Was, uh, is does racing pay for itself, were you,  
Speaker 2    00:42:09    Pardon?  
Speaker 1    00:42:09    Were you successful at it? Did racing pay for itself?  
Speaker 2    00:42:14    Oh yeah. Oh, it had to mm-hmm <affirmative>. And then after Sandy died, I realized that I couldn't afford a private trainer and I certainly couldn't train myself. Right. I didn't think I could do that. And so I gradually eased out of the horse business. And I, there're lovely barns over there. You really ought to go over and look. And I leased all those barns to other trainers and things like that. Right. But I figured eventually this is ridiculous. And I managed to sell it and build this house. Right.  
Speaker 1    00:42:55    So it was sort of like the training track is now with barns and a track and you had different trainers in the barns and you  
Speaker 2    00:43:03    Could see you are looking  
Speaker 1    00:43:07    What are the, they're they're growing something  
Speaker 2    00:43:09    D past seal pins Yeah. Is the racetrack. And it's a five eight a mile track. And it used to be have little hell what the shape is now. And we had a starting gate and we could train right there. Right there. And then we have all these barns over here. So this,  
Speaker 1    00:43:30    This is one of them.  
Speaker 2    00:43:30    Yeah. You can see barns.  
Speaker 1    00:43:34    And now it looks like they're growing grapes in the front. Oh  
Speaker 2    00:43:37    My God. I don't know what they're doing, but they, they've got all sorts of high fit protection and everything. And then there was a great big house that Sandy's mother lived in and we had a house that just like this one. And you could, you're looking at my old house, Sandy. You see the front door?  
Speaker 1    00:43:57    Yes.  
Speaker 2    00:43:58    That And it looks just like this house. Yeah, it does. It's very easy. When I built this house to move Right. I knew where all the furniture was going. <laugh> and then Sandy's mother's house. You could see the roof of it. Yes. And the barns were down there and we had her, she had a, a, a sitting room looking at so that she could see them when they led the horses out every day to train 'em and everything. Okay.  
Speaker 1    00:44:24    Did which house over there was built first? The mother's house or Sandy's house?  
Speaker 2    00:44:29    I, oh, I think it was Mrs. McLeod's house. Mm-hmm <affirmative>. That was before I was married. When I was married. She was living there. Mr. McLeod had died and Sandy's house was just finished and we moved right in that.  
Speaker 1    00:44:46    And then when she died, you didn't move over to that house?  
Speaker 2    00:44:49    No, uh, we liked our own house. Right. And we leased it for a number of years mm-hmm <affirmative>. And uh, then I sold the whole package.  
Speaker 1    00:44:59    Right. Do they run horses there?  
Speaker 2    00:45:02    I have no idea what they, I don't see any horses. I don't think so. Right.  
Speaker 1    00:45:06    Service. That was how many years ago did you sell that?  
Speaker 2    00:45:10    Uh, I moved here I think about 15 years ago.  
Speaker 1    00:45:16    Yeah. I think I remember that being sold. Your Christmas tree is pretty.  
Speaker 2    00:45:21    Pardon? Your  
Speaker 1    00:45:23    Cardinals.  
Speaker 2    00:45:23    Oh, in the  
Speaker 1    00:45:24    Christmas tree.  
Speaker 2    00:45:25    Well that, my sister has a tree farm and we go and get our tree every year. It looks so, so cute. So we moved it out here and I feed out here and I have about seven or eight male cardinals that I've counted out here. It's really a nice little area for the birds.  
Speaker 1    00:45:46    Right. Where is your sister's tree farm?  
Speaker 2    00:45:50    Up in, uh, Fort Defi, right outside of Stanton. And we go out there every year Thanksgiving and get, and they give us, that's our Christmas present. And it's just such a cute little tree. We just put it up there and I've enjoyed it as much now as I had  
Speaker 1    00:46:07    Inside. I did the same thing. I couldn't bear to throw it away. Oh, I know. And I plug it in outside and I can still look at it  
Speaker 2    00:46:16    And the vege Love it.  
Speaker 1    00:46:17    How old is your sister?  
Speaker 2    00:46:19    Uh, she's dead now. She was 11 months younger than I was.  
Speaker 1    00:46:26    And who has the tree farm now?  
Speaker 2    00:46:28    Uh, that's my niece.  
Speaker 1    00:46:30    She's still  
Speaker 2    00:46:31    Still in the family? Oh yeah. Oh yeah.  
Speaker 1    00:46:34    Now was that, uh, something that your parents had?  
Speaker 2    00:46:38    No, that was, that was just her, uh, kit and her husband. My sister kit and her husband, uh, started to tease farm. He was a doctor and after he retired they started playing around and planting these trees and it was just wonderful. And it was very successful tree farm there.  
Speaker 1    00:46:56    What did your family do in Stanton?  
Speaker 2    00:46:58    Uh, my father was the first Republican post after, since the Civil War <laugh>. And that after he retired from that, he looked around and he realized from the little Thomas broadcast that cars were gonna be the big thing. And so he had an oil company at Silver Station.  
Speaker 1    00:47:22    Very smart.  
Speaker 2    00:47:22    Yeah. Very smart.  
Speaker 1    00:47:25    And did you grow up right in town or did you grow up North  
Speaker 2    00:47:27    Farm? Yeah, we lived Right. Stanton Military Academy sits up on the hill and we have a house right across the street from estimate. Mm-hmm <affirmative>. That must be. And then we went to Mary Baldwin, which is right down the hill. Right. And, uh, very self-contained. Right.  
Speaker 1    00:47:48    That's a beautiful town too.  
Speaker 2    00:47:50    It is pretty down there. And now they have a big music festival going in. We heard about that summer. I  
Speaker 1    00:47:56    Have a friend that lives down there. He is a doctor.  
Speaker 2    00:47:58    Yeah.  
Speaker 1    00:47:59    They enjoy that. Mm-hmm <affirmative>. Well, thank you so much. Well,  
Speaker 2    00:48:04    It's been a pleasure having you. Thank  
Speaker 1    00:48:07    You so much.  
Speaker 2    00:48:10    You are, oh, that's yours? Yeah. Yeah. 
