People  LS,LEE,LEE,LEE
Title   Interviewed 1/28/25<br>by Lydia Strohl <https://middleburgmuseum.org/wp-content/uploads/2025/01/annlee.jpg>
Speaker 1    00:38:08    Well, the church, yes. Um, yes. All we have is the church.  
Speaker 0    00:38:14    <laugh>. Well, yeah. You have a lot of people still here that you,  
Speaker 1    00:38:19    Well, this is people who used to live around, has moved away. And, um, and they're younger children, you know, some, some of 'em are still, you know, carrying on the church benches, you know? Mm-hmm <affirmative>. The children or the grandchildren, you  
Speaker 0    00:38:43    Know. So there's still families like yours within Willisville. Mm-hmm <affirmative>. Who are the other families that are still here?  
Speaker 1    00:38:51    Gaskins. Mm-hmm <affirmative>.  
Speaker 0    00:38:56    And they live.  
Speaker 1    00:38:58    And then, then, uh, apple, apple Smith, apple, Stewart Smith here. She, um, she was a teacher. She grew up here. And she, you know, she was the teacher down here in other schools also. And she's still living. She's the same age. I am. <laugh>  
Speaker 0    00:39:21    Good living out here.  
Speaker 1    00:39:23    <laugh>  
Speaker 0    00:39:24    Living. You look so beautiful and young. I would  
Speaker 1    00:39:29    <laugh>  
Speaker 0    00:39:31    Love to know your aging secret,  
Speaker 1    00:39:34    <laugh>.  
Speaker 0    00:39:37    Do you, um, remember when you were growing up, the, were there attitudes here about segregation? Did you feel safe here in this  
Speaker 1    00:39:53    Community? Oh, yeah. We, we were, we were well safe. Yeah. We, we, uh, we really didn't know. We didn't feel the segregation. Yeah.  
Speaker 1    00:40:05    But there were like store places, eating places in Middleburg, because we, we weren't, you know, we, we didn't go out to eat or anything, but if you did, you'd have to go in the back doors and things like that. But, uh, we, we, we didn't feel that, uh, well, I guess we did have it, you know, like the white kid rode the bus and we walked, uh, there was one or two people that around here, you know, you went to the house and, but they, uh, it was where my father worked on here. We went to the house. 'cause she sold chickens and eggs, and we had to go get our milk with, and we would be called, she wouldn't let us in the house and things like that. But, you know, their parents never let us disrespect them. We were, you know. But, um, later on in life, you know, that she apologized, you know, she said, you know, she said, you know, sickness will bring you down, <laugh>. And we met on the street in Mul later on in life. And, uh, but, uh, we weren't taught to disrespect people because your parents had to work for 'em.  
Speaker 0    00:41:48    Right.  
Speaker 1    00:41:50    But they, we, I don't think we were mistreated that badly, you know?  
Speaker 0    00:41:57    And  
Speaker 1    00:41:58    This, we got May got paid less than any, any, you know, the white people.  
Speaker 0    00:42:07    But living here, was it comfortable living? Was it hard?  
Speaker 1    00:42:16    Well, when you look back on it and see that, that I can walk and turn it, stick it on and get water, we had to carry water, you know, and we had to put wood in the stove, you know, car. So it, it was hard, but it was a way of life. And it's just what you did. Mm-hmm <affirmative>. You know,  
Speaker 0    00:42:38    You didn't have water here for some time, did you?  
Speaker 1    00:42:41    No, we didn't have water in the bathroom. You know, we'd go outside to the bathroom and, um, we didn't have no water here.  
Speaker 0    00:42:52    Where did the water come from?  
Speaker 1    00:42:54    Well, I, I've got a, well now mm-hmm <affirmative>. Everybody has a well,  
Speaker 0    00:42:59    But in the past, you didn't have a, well,  
Speaker 1    00:43:02    Well, we had a system right here, Uhhuh. <affirmative>. And, and that's where we got. And, um, but other people, uh, had decent drinking water, and you would just go cross road and get a bucket of water, <laugh> to drink. And, um, but to wash, and you had to bring you wash water and, um, do all of that kind of stuff. It was hard living. But as was way of life. You didn't realize how hard it was  
Speaker 0    00:43:35    Right now that you can turn on your water.  
Speaker 1    00:43:38    Yeah. You just turn on the water and take a shower. I thank God every time I take a shower. <laugh>,  
Speaker 0    00:43:45    When did the plumbing come in to Willisville?  
Speaker 1    00:43:51    Um, I, I guess it about, about the time I bought my house, you know? So it wasn't even been here that long,  
Speaker 0    00:44:05    Right?  
Speaker 1    00:44:05    Mm-hmm <affirmative>.  
Speaker 0    00:44:07    And until then, you had an outhouse?  
Speaker 1    00:44:13    Um, I had an outside bathroom. Yeah. Mm-hmm <affirmative>. But by that time, you, you, you, you had Don Yard, <laugh>. So that's what I had done yet.  
Speaker 0    00:44:38    I'll look up on the, when they brought water here. That was a, a county,  
Speaker 1    00:44:44    Huh?  
Speaker 0    00:44:45    That was the county, right? Yeah. The county had to  
Speaker 1    00:44:47    Yeah. Bring it  
Speaker 0    00:44:48    Here. Yeah. Other than Is this cistern, uh, spring fed, or is it rain fed?  
Speaker 1    00:44:55    It Rain fed.  
Speaker 0    00:44:57    So did you have times where there wasn't any water?  
Speaker 1    00:45:02    No. Not, no. Um,  
Speaker 0    00:45:08    Because we've had some really dry winters. Well,  
Speaker 1    00:45:10    Right now we don't use it. We know,  
Speaker 0    00:45:13    Right.  
Speaker 1    00:45:14    We got <inaudible>.  
Speaker 0    00:45:16    But when you were growing up, you don't remember any times where there wasn't any water?  
Speaker 1    00:45:21    Oh, we had a good, um, no, we never run that water.  
Speaker 0    00:45:26    And it was safe  
Speaker 1    00:45:26    To drink it. It would get, uh, it was safe to wash clothes or do something like that, take a bath. But it wasn't safe to drink. We never did drink this water.  
Speaker 0    00:45:39    Right. What water did you drink?  
Speaker 1    00:45:42    What the lady next day had a Well, uh, else, uh, the lady, people live up the street, you know, we'd get water from drinking water from there. Mm-hmm  
Speaker 0    00:45:56    <affirmative>. And so you would just walk up there  
Speaker 1    00:45:58    And Right. Get a bucket of water, <laugh>  
Speaker 0    00:46:02    And, and bring it back and use it for mm-hmm  
Speaker 1    00:46:05    <affirmative>. And then you drank it.  
Speaker 0    00:46:10    Did you boil the water before you drank it?  
Speaker 1    00:46:13    No. Them days. You didn't have to boil deep wells.  
Speaker 0    00:46:21    Right. Straight out of the ground. Tasted good. What did you do around here when you were kids? For fun?  
Speaker 1    00:46:30    You mean for,  
Speaker 0    00:46:32    For fun? Did you play any sorts of games? I know you went to the dances. Did  
Speaker 1    00:46:37    You have Well, no, I didn't go to dances that much. I would, you know, when I was younger, but I was so busy raising my children. I, you know, I, I have no interest. Mostly the people I knew we would, you know, church was open all the time. We, we just mostly went after we settled, everybody got married and settled. You just went to church and, you know, and now we have, you know, family gathers, you know, birthdays. And I have a big family. It's always  
Speaker 0    00:47:18    <laugh>, always  
Speaker 1    00:47:18    Birthday. It's always birthday.  
Speaker 0    00:47:22    How do you celebrate a birthday  
Speaker 1    00:47:23    Here? We, we just have dinner.  
Speaker 0    00:47:27    Does everybody have their favorite thing they like to  
Speaker 1    00:47:29    Have? Well, yeah. They, sometimes you have too much food, you know?  
Speaker 0    00:47:37    Right. What about the holidays that at Christmas?  
Speaker 1    00:47:42    Well, we do the same thing. You know, we get together, you know, at open presents, you know, mostly it's just the family. You know, me, my daughter, you know, we go to her house, like come over there.  
Speaker 0    00:48:03    How many grandchildren do you have? Uh,  
Speaker 1    00:48:07    I have about, uh, about 12. And, but the great grandchildren is, is the number <laugh>. Quite a few great grandchildren. Yeah. And then I have great, great grandchildren. It's the four generation,  
Speaker 0    00:48:24    Four generations? Mm-hmm <affirmative>. You're the oldest? Yeah.  
Speaker 1    00:48:27    <laugh>. I am the oldest old.  
Speaker 0    00:48:31    Right. And are they, do you see most of them?  
Speaker 1    00:48:38    No, because I have the two daughters. One daughter lives in, uh, North Carolina. The other daughter lives in Georgia. And, um, you know, I see 'em once or twice a year. I even go there sometimes myself. But, uh, and my nephews and nieces, they all very, we are very, very close, you know, nephews and nieces. They, they, um, live all over, you know, <laugh>.  
Speaker 0    00:49:18    Right. Your family is,  
Speaker 1    00:49:19    It was right  
Speaker 0    00:49:21    Far flung, but mostly East coast. It sounds like.  
Speaker 1    00:49:24    Mostly it's mostly family. Here is my family,  
Speaker 0    00:49:29    Right? Mm-hmm  
Speaker 0    00:49:31    And then from your sisters and brothers?  
Speaker 1    00:49:34    Yeah,  
Speaker 0    00:49:34    Mostly on the East coast, from like the New Jersey, down to Carolinas. And do people come here then at Christmas or Easter?  
Speaker 1    00:49:45    Huh?  
Speaker 0    00:49:45    Do people, does your family come at Christmas and Easter to celebrate?  
Speaker 1    00:49:51    Well, they used to, but you know, my, my children in the, in <laugh> in the seventies. And, and, um, but they, they, you know, they don't come now, you know, they, but they come, you know, some every year. Right.  
Speaker 0    00:50:12    Maybe  
Speaker 1    00:50:13    Come at some point.  
Speaker 0    00:50:14    Family and friend is reading  
Speaker 1    00:50:16    <laugh>. Yeah.  
Speaker 0    00:50:18    Sounds like you could have your own family and friends reunion.  
Speaker 1    00:50:21    Right? Right. Most of, uh, well, great, great grandchildren. They, they, um, so far away. They, they like to spend time with the children home, you know. But I do see 'em, I do hear from  
Speaker 0    00:50:41    Mm-hmm <affirmative>. When the pastor was traveling to the church, how often, you said the church was open? All the time, but they have services.  
Speaker 1    00:51:03    We have services every Sunday.  
Speaker 0    00:51:05    Every Sunday.  
Speaker 1    00:51:05    Every Sunday at eight o'clock. I don't get to go <laugh>. It's a little early for me to get up and, you know, Uhhuh. But, um,  
Speaker 0    00:51:15    But you can go over to the church  
Speaker 1    00:51:16    Anytime? Yeah, I can go, I can go to the church, you know. But, uh, because he, he, he pastors three churches now, you know?  
Speaker 0    00:51:27    Right.  
Speaker 1    00:51:28    He has to go to Hamilton. He had to come to Willisville and goes to Hamilton. And then he goes to Leesburg.  
Speaker 0    00:51:38    Where does he live?  
Speaker 1    00:51:39    He lives in Middleburg. Oh. And in hu that's a lot. Even  
Speaker 0    00:51:43    Though the Middleburg is closed. Mm-hmm  
Speaker 1    00:51:45    <affirmative>. Mm-hmm <affirmative>.  
Speaker 0    00:51:46    Still lives at the parsonage there.  
Speaker 1    00:51:48    Mm-hmm <affirmative>.  
Speaker 0    00:51:48    Mm-hmm <affirmative>. Which Methodist church is that in Middleburg  
Speaker 1    00:51:53   <Methodist Church https://visitmiddleburgva.com/wp-content/uploads/UMC.jpg>.  
Speaker 0    00:51:54    Which, which one is it?  
Speaker 1    00:51:56    Uh, it was <Asbury Church https://www.middleburglife.com/wp-content/uploads/2023/01/Photo_02-copy-1024x683.jpg>, but it's closed.  
Speaker 0    00:52:01    Is it the one that was on the, by the Exxon  
Speaker 1    00:52:06    Station? Yeah. You turn it Exxon Station. Yeah.  
Speaker 0    00:52:10    That's a beautiful building back  
Speaker 1    00:52:11    There. Mm-hmm <affirmative>.  
Speaker 0    00:52:13    Would you go to church different places?  
Speaker 1    00:52:15    I do, yeah. I do. I do. I go to church. Different places.  
Speaker 0    00:52:20    Where do you go? Well,  
Speaker 1    00:52:22    I just, sometime I go to <Rectortown @38.92065,-77.86099,16>. I, I go to Purcellvile and, you know, if, if, if the church is open here, you know, later on in the day I go, you know?  
Speaker 0    00:52:36    Mm-hmm <affirmative>. I live in Rectortown.  
Speaker 1    00:52:38    You live in <laugh>? Uh, then I go to Marshall or I goes all over the church. I mean, I won't get to go now. This Carol, not she was, she was. We used to go to different things.  
Speaker 0    00:52:57    Mm-hmm <affirmative>. And your daughter lives next door. I know your Dwight is your grandson. He lives,  
Speaker 1    00:53:05    Yeah. Mm-hmm  
Speaker 0    00:53:06    <affirmative>. Here as well? Mm-hmm <affirmative>. I know him.  
Speaker 1    00:53:08    You know Dwight? Mm-hmm <affirmative>.  
Speaker 0    00:53:11    Yeah. I do. He was one of the first people I met when I moved here.  
Speaker 1    00:53:14    Right. So where are you from?  
Speaker 0    00:53:18    I'm from, well, I grew up living overseas. 'cause my, my dad's work, we lived out of the country. And then I moved back to the United States when I was 18. And I didn't really live any certain place until I moved here. I've lived here longer than I've lived anywhere in my life. Um, I moved here in 1999. So  
Speaker 1    00:53:51    You, you dislike around here? I like around here  
Speaker 0    00:53:54    <laugh>. Yeah. So the first place I lived was this house back here, um, back. That was, I guess that was part of Ksby?  
Speaker 1    00:54:03    Yeah, it was part of Cast.  
Speaker 0    00:54:06    And then, um, Mr. Scott built those two houses there. Mm-hmm <affirmative>. And then we had that house for a little bit. Someone had died in that house. A man had a heart attack, and so the wife didn't want to live there anymore. So we lived there for a little while. Um, and then we got a house over in Rectortown after living in Upperville for maybe four or five years. But I had one baby here, and we would walk in the vineyard here and up this road and mm-hmm <affirmative>. Just walk all around just to get out of the house.  
Speaker 1    00:54:48    <laugh>. Yeah. I just don't do a lot of walking. Um, I, I, I broke my hip. I, I, I <laugh> I broke both hips  
Speaker 0    00:55:05    At the same time.  
Speaker 1    00:55:06    No, not at the same time. Wasn't wasn't too much too long between, but I broke. I worked until I was eight, seven.  
Speaker 0    00:55:19    Did you know <laugh>?  
Speaker 1    00:55:21    I fell and broke my hip. So I guess a Lord said she's enough for you to work <laugh>. I worked at, you know, after I moved from Canfield and got settled in here, I worked at Welbourne, mostly regular, you know, and, uh,  
Speaker 0    00:55:44    And still taking care of, we're taking care of children,  
Speaker 1    00:55:47    <laugh>. And then I did, I worked hard in my life. I, I did catering work and, and, um, I, I, you know, I worked for Ambassador and, and, uh, I used to, uh, my two sisters and I, we worked at a, with the cattle in Leesburg. We used to every weekend almost <laugh>. Mm-hmm <affirmative>. John to,  
Speaker 0    00:56:20    Did you prepare your own food?  
Speaker 1    00:56:25    Um, no. He, he prepared the food, you know, and we do the... 
Speaker 0    00:56:32    You take care of mm-hmm  
Speaker 1    00:56:33    <affirmative>.  
Speaker 0    00:56:34    The people.  
Speaker 1    00:56:35    Yeah. <laugh>. Yeah.  
Speaker 0    00:56:38    And you worked up at Welbourne? Til?  
Speaker 1    00:56:41    I was at, at Welbourne until eight. I was at eight, seven <laugh>. Eight or seven. And that, uh, but I felt good. I, and I walked, I walked, you know,  
Speaker 0    00:56:59    That's a little slippy now, but  
Speaker 1    00:57:01    Yeah, no, I don't go out there. I, I did go to the mailbox yesterday because it start up in, my son lives with me.  
Speaker 0    00:57:12    Mm-hmm <affirmative>. And Which son is that?  
Speaker 1    00:57:17    That's Charles. Charles.  
Speaker 0    00:57:20    And how is Brooks related to you?  
Speaker 1    00:57:23    Brooks,  
Speaker 0    00:57:24    Blake,  
Speaker 1    00:57:26    Blake, Blake's Dwight's son. That's, he's my great grandson. Great grandson. <laugh>, he nice kid.  
Speaker 0    00:57:36    He is nice. Mm-hmm. I've met. And, and, uh, Dwight has a daughter as well.  
Speaker 1    00:57:42    Mm-hmm <affirmative>. Mm-hmm  
Speaker 0    00:57:43    <affirmative>. Yeah.  
Speaker 1    00:57:47    Yeah.  
Speaker 0    00:57:48    And they live here.  
Speaker 1    00:57:49    <laugh>  
Speaker 0    00:57:50    Nice and close. Yeah. And, and <Carol https://bloximages.newyork1.vip.townnews.com/fauquiernow.com/content/tncms/assets/v3/editorial/5/22/5229592a-c153-11ef-b963-a3752b5779ff/67699dbba2e9f.image.jpg?resize=400%2C400> is here.  
Speaker 1    00:57:55    Uhhuh. <affirmative>. Kyle's daughter. Jennifer  
Speaker 0    00:58:04    Is here.  
Speaker 1    00:58:04    Yeah. Yeah. You met her?  
Speaker 0    00:58:07    Uh, I think I met her at the museum.  
Speaker 1    00:58:10    Yeah. Mm-hmm  
Speaker 0    00:58:11    <affirmative>. And you had a big, do tell me about your book and your, uh, your story that you put together. You wrote a, <book https://visitmiddleburgva.com/wp-content/uploads/2024/07/Path-Through-Willisville-1-300x300.jpg> or there was a woman that wrote a book about Willis. Phil,  
Speaker 1    00:58:26    Uh, Kyle wrote the book. <laugh> Carol wrote the book. <laugh>. Yeah. She wrote, you know, and, um, well, it is, it is almost the same. You know, each person did, uh, the, the lady who wrote the book, each person, she interviewed them and they told their story, you know? Right. Mm-hmm <affirmative>.  
Speaker 0    00:58:50    And that there was a lot of research done, um,  
Speaker 1    00:58:56    Yeah. Yeah.  
Speaker 0    00:58:57    To make Willis Phil with, I know Jane was here for a while doing Yeah.  
Speaker 1    00:59:02    Interviews and mm-hmm <affirmative>. Mm-hmm  
Speaker 0    00:59:04    <affirmative>. Doing the paperwork to make the Right.  
Speaker 1    00:59:06    Right. Historical Janet. And, and the, uh, about youngest sister, Julia's daughter. Judy. Judy. And, uh, they all helped, you know, to, to get it together.  
Speaker 0    00:59:22    And is it the entire dis, uh, town? That's a historic district now?  
Speaker 1    00:59:27    Mm-hmm <affirmative>. Mm-hmm <affirmative>. Did you, you didn't see the book?  
Speaker 0    00:59:30    Yes, I've seen the book at the museum. Mm-hmm  
Speaker 1    00:59:32    <affirmative>. Mm-hmm <affirmative>. Mm-hmm <affirmative>.  
Speaker 0    00:59:35    Yep. And I was at the museum when you spoke about it. Mm-hmm <affirmative>. With the author and your, your daughters. Um, do you remember that? In the  
Speaker 1    00:59:49    Yeah, I remember that. I remember. Mm-hmm  
Speaker 0    00:59:51    <affirmative>. So the museum's moved to the pink box now. Mm-hmm <affirmative>. But that was when it was in the bigger, right. In the bigger spot. Yeah. Um, and they still have the map up with, you know, Willisville on it and mm-hmm  
Speaker 1    01:00:06    <affirmative>.  
Speaker 0    01:00:07    Um, they still have the exhibits there. Mm-hmm <affirmative>. It's just in a smaller space,  
Speaker 1    01:00:11    But a smaller,  
Speaker 0    01:00:12    Yeah. Right. And then in the back, there's a, um, a video screen mm-hmm  
Speaker 1    01:00:20    <affirmative>.  
Speaker 0    01:00:20    So you can watch the videos about the different areas. And there's a video about the gravel roads in Lo Loudoun and some of the different history. Mm-hmm <affirmative>. That's here. What are you gonna do today?  
Speaker 1    01:00:43    Well, <laugh>, I'm, I'm going to, I always ride with Rebecca and she do, she likes to go, you know, do errands. Mm-hmm <affirmative>. So today we, we going to, I ride with her.  
Speaker 0    01:01:04    Right.  
Speaker 1    01:01:04    And that just gets me out the house here.  
Speaker 0    01:01:06    Right, right. Mm-hmm <affirmative>. Right. She goes to the Costco mm-hmm <affirmative>. And then, Hmm. You get all the, um, things she needs for Welbourne mm-hmm  
Speaker 1    01:01:16    <affirmative>. Mm-hmm <affirmative>. And then, then I'll, um, I ain't doing nothing. Kyle's daughter's over there. She says she got going to Middleburg. I may ride into Middleburg with her because Rebecca ain't going until 8 3 30. Mm-hmm <affirmative>.  
Speaker 0    01:01:40    So you seem in very good health. Your health is good. Huh? Your health is good.  
Speaker 1    01:01:46    My health is good. I got a doctor's Hardman, uh, next week. And I hope I only go to doctors for the last two years, I guess. Close to two years, twice a month, twice a year. Mm-hmm <affirmative>. So, you know, my health is, I'm just stiff from breaking these hips,  
Speaker 0    01:02:12    <laugh>. Right. Did you fall down  
Speaker 1    01:02:14    Uhhuh <affirmative>  
Speaker 0    01:02:15    When you were working?  
Speaker 1    01:02:16    Callously? I don't like to tell people about how <laugh> Okay. <laugh>,  
Speaker 0    01:02:23    We won't talk about  
Speaker 1    01:02:24    That's right. You know, it callously, you know, uh,  
Speaker 0    01:02:30    I have done my share of that. I tell you,  
Speaker 1    01:02:32    <laugh>,  
Speaker 0    01:02:34    One moment of not looking can,  
Speaker 1    01:02:36    Right. Right? Mm-hmm <affirmative>.  
Speaker 0    01:02:38    Can have a lot of consequences, right?  
Speaker 1    01:02:40    Mm-hmm <affirmative>. But even after I broke my hip, I still did, you know, a lot of walking because, um,  
Speaker 0    01:02:49    Well, it's good for, it keeps it  
Speaker 1    01:02:51    Right. Mm-hmm <affirmative>.  
Speaker 0    01:02:52    Loose. And where do you go to the doctor?  
Speaker 1    01:02:54    I go to Dr. Griffin and I hope he lives don't retire before I die.  
Speaker 0    01:03:01    <laugh>. Right.  
Speaker 1    01:03:02    He's an excellent doctor.  
Speaker 0    01:03:03    Yes, he is. Yes, he is. Been here serving the country,    
Speaker 0    01:03:09    The people for a long time, right?  
Speaker 1    01:03:11    I know. I know. And he knows. Just he's old time, you know, he knows if you, uh, I, I lost a kidney. Well, if I hadn't broke my hip the first first time, I would probably had cancer because I had cancer of kidneys. They found out I had cancer of, of one of my kidneys. And, and I didn't know it. I wasn't sick or no, nothing, you know? And, uh, when the, it was examine me and, and then they found this out, I also had a mass in my stomach.  
Speaker 0    01:03:58    Oh, my <laugh>. You would, you  
Speaker 1    01:04:00    Didn't feel anything. But I was healthy, you know, I wasn't, but, so I think, I think it's a lesson. I broke my hip the first time, but, but, um, but when I broke my hip, I got up and walked, I walked up steps downstairs, <laugh>.  
Speaker 0    01:04:19    Ah, that must have been really painful.  
Speaker 1    01:04:21    No, it wasn't.  
Speaker 0    01:04:24    Were you here, were you home?  
Speaker 1    01:04:27    The, the, the second time I was, yeah. Um, but other time I wasn't. But, um, I, you know, it hurt, but I could walk, you know, change my clothes before I went to the doctor and everything. And  
Speaker 0    01:04:53    Did I hope someone took you to the doctor?  
Speaker 1    01:04:56    Well, my daughter did.  
Speaker 0    01:04:58    Mm-hmm <affirmative>.  
Speaker 1    01:05:00    But, uh, did you think I had no idea it was broken.  
Speaker 0    01:05:04    You didn't know it was broken? Mm-hmm. So what did they do for you?  
Speaker 1    01:05:09    Well, I, you know, it, it hurt a little bit, but, uh, I could walk. I dunno, I guess I'm just tough.  
Speaker 0    01:05:19    You are tough. Mm-hmm <affirmative>. And you work hard. Mm-hmm  
Speaker 1    01:05:22    <affirmative>. And,  
Speaker 0    01:05:24    And you take care, good care of yourself.  
Speaker 1    01:05:26    They, they, um, when they, um, set my hip and that, that, that night I got up walked too. And then when I did the exercise, I could do every exercise that, you know, in therapy. You know, I could do all the exercise.  
Speaker 0    01:05:50    When did you, when did you first break your hip?  
Speaker 1    01:05:53    It was, it was in 88. Nine.  
Speaker 0    01:05:57    Yeah. So you're, you have,  
Speaker 1    01:06:03    So I do all my housework now, but it's not very good. But I can, but I can still do it. Right.  
Speaker 0    01:06:13    Move around. It's good for you to move around then. Mm-hmm  
Speaker 1    01:06:15    <affirmative>. Cook for I cook every day. Eat, eat. Right.  
Speaker 0    01:06:24    So what would you be your tips for someone who wants to live to be a hundred years old?  
Speaker 1    01:06:31    I would say do you know, work hard after? Well, you don't have to work if you don't, don't. But exercise, you know, I even had a gardener, a little gardener, summer, you know?  
Speaker 0    01:06:47    What did you grow?  
Speaker 1    01:06:48    I, I grew, um, squash and onions and up salad stuff. And <laugh>, I love, I love, um, kale and different  
Speaker 0    01:07:03    Yeah. It's nice in the winter, not to take care of my garden,  
Speaker 1    01:07:10    But I, I didn't grow to tomatoes and things. I, I just didn't, didn't bother with it.  
Speaker 0    01:07:18    That's a lot of work  
Speaker 1    01:07:19    You get. I don't know. But, you know, I get up, I get up early in the morning, you know, go do my little garden and pour weeds. I still clean my flowerbeds out. <laugh> sit on a stool.  
Speaker 1    01:07:39    I dunno. Just busy.  
Speaker 0    01:07:50    Is Willisville different from when you grew up  
Speaker 1    01:07:54    Here? Oh, yes. <laugh>, it's much different. Yeah. You know, you know, you, you don't see anybody, you know, uh, no, they don't visit you, you know, and I don't visit them  
Speaker 0    01:08:14    <laugh>. Right. So  
Speaker 1    01:08:16    It's not that we are not friendly, you know?  
Speaker 0    01:08:20    Yeah, I know what you mean.  
Speaker 1    01:08:22    Yeah.  
Speaker 0    01:08:23    I wonder why that is.  
Speaker 1    01:08:24    Yeah. I don't know.  
Speaker 0    01:08:27    Because now you have more time  
Speaker 1    01:08:29    <laugh>  
Speaker 0    01:08:30    Than when you worked all the time. Yeah. So,  
Speaker 1    01:08:34    But you know, I, I, I sat on the, on the porch a lot. I'm outside and either on the back porch or the front porch, and, um, a lot of people just stop you, you know, visit you, you know?  
Speaker 0    01:08:53    Right. There's doesn't seem to be as many children as  
Speaker 1    01:08:58    <laugh> Julie is, be riding a bicycle. She stopped.  
Speaker 0    01:09:02    Yeah. But it sounds like there were a lot of children here when you were growing  
Speaker 1    01:09:07    Up. Oh, yes. You don't only one the family next door. She has a lot of children copied off of me. <laugh>. <laugh>. But, uh, other than that, you know, the lady lives next door to Carol. She has just grown children, two grown children. They, they grow and one of 'em teaches another, do something, but, you know, no children around other than if, but you don't see her children. She keeps 'em up there, you know,  
Speaker 0    01:09:51    And if they take a bus to go to school, you're not walking by and  
Speaker 1    01:09:56    No, they're not playing in  
Speaker 0    01:09:58    That street  
Speaker 1    01:09:59    Mm-hmm <affirmative>. And she doesn't allow 'em to play in this road because people drive so fast.  
Speaker 0    01:10:08    Yeah. I noticed that even though it's a dirt road  
Speaker 1    01:10:11    Mm-hmm <affirmative>.  
Speaker 0    01:10:12    You would think they would take their time,  
Speaker 1    01:10:15    But they don't. Eden, they got speed signs, but they don't pay no attention to  
Speaker 0    01:10:20    Them. Have there been any bad accidents? Mm-hmm.  
Speaker 1    01:10:23    No. Well, that's good. But there was a lot of deers, you know, you can see 10 deers out here, and they just jumped right across the road. I'm looking for.  
Speaker 0    01:10:34    Right. Yeah. Seems different over here. Even since I used to walk here, that child is 20 years old, so mm-hmm <affirmative>. 20 years ago I lived over here and it seemed like there was a lot of people said hello to me, and Yeah. As I walked through.  
Speaker 1    01:10:56    Right.  
Speaker 0    01:10:57    But now I walk with Rebecca up here sometimes,  
Speaker 1    01:10:59    And it's you, you walk now with her. Oh, you do? Mm-hmm <affirmative>. Mm-hmm <affirmative>.  
Speaker 0    01:11:05    Yeah.  
Speaker 1    01:11:07    Rebecca <laugh>. She, uh, she's a good hearted person.  
Speaker 0    01:11:16    She's a good friend.   
Speaker 1    01:11:20    Father was a nice person.  
Speaker 0    01:11:24    I didn't know him very well. I've met him a couple times going over there, but I didn't know him very well.  
Speaker 1    01:11:32    Well, he was a nice person. Um,  
Speaker 1    01:11:39    Because, I, I worked for him and I worked for his mother, and she run the place before he did his mother and father. And then I worked for his grandmother and grandfather <laugh>. And, uh, and my father worked when he was at, he, he worked for Ms. Morrison's family, you   
Speaker 1    01:12:08    They done, they're very good people. <George https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ72slKly9mZ708TCgufKLBevTL-ctnRxZLRQ&s#.jpg> nice person. <Dulany https://assets.isu.pub/document-structure/200929203543-261e1c003ed312c39bfbcc4929e89193/v1/b67b3e816eb1fbe06653a6fc0d63cb4c.jpg?crop=490%2C368%2Cx0%2Cy0&originalHeight=974&originalWidth=490&zoom=1>.  
Speaker 0    01:12:20    Yeah. A lot of them around here now too. Still <laugh>. Do you ever get back to Welbourne?  
Speaker 1    01:12:27    Yeah.  
Speaker 0    01:12:27    Do you ever go back to Welbourne? Yeah,  
Speaker 1    01:12:29    <Rebecca https://www.middleburglife.com/wp-content/uploads/2020/01/Close-up-of-Rebecca-dancing-wi8th-Nat-at-Welbourne-Dec.-2019-ML.jpg>, take me down <laugh>. She, um, I, I seen the Christmas decoration. She took me  
Speaker 1    01:12:40    And my daughter works. She, she does breakfast at, well, she comes from Sterling up here, do the breakfast. But that's because, you know, then, then she can see if I need anything, you know?  
Speaker 0    01:12:59    You have a long history with the <Morison https://syncopatedtimes.com/wp-content/uploads/2019/11/Nat-Morison-and-Aven-at-the-Plaza-Hotel.jpg>family.  
Speaker 1    01:13:02    Yeah, I do. Yeah   
Speaker 0    01:13:07    Well, thank you so much for giving me so much of your time today.  
Speaker 1    01:13:11    Well, I hope you can get a story out of that. Oh,  
Speaker 0    01:13:15    You have plenty of stories.  

